row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Trang thiết bịvăn phòng,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Trang thiết bịvăn phòng,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.867.427.454.306,1.248.154.724.684,197.158.605.043,10.173.884.444,3.322.914.668.477,1867427454306.0,1248154724684.0,197158605043.0,10173884444.0,3322914668477.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,22.931.465.604,15.106.300.000,2.193.947.618,40.231.713.222,,22931465604.0,15106300000.0,2193947618.0,40231713222.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,55.388.878.167,7.035.334.960,-,-,62.424.213.127,55388878167.0,7035334960.0,,,62424213127.0
- Phân loại từ tài sản thuê tài chính,Nguyên giá: > - Phân loại từ tài sản thuê tài chính,- Phân loại từ tài sản thuê tài chính,-,213.664.798.708,-,-,213.664.798.708,,213664798708.0,,,213664798708.0
- Điều chuyển tài sản cho công ty con,Nguyên giá: > - Điều chuyển tài sản cho công ty con,- Điều chuyển tài sản cho công ty con,(4.592.408.962),(343.002.623.676),-,-,(347.595.032.638),-4592408962.0,-343002623676.0,,,-347595032638.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(90.417.904.454),(2.597.468.477),(582.596.228),(93.597.969.159),,-90417904454.0,-2597468477.0,-582596228.0,-93597969159.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.918.223.923.511,1.058.365.795.826,209.667.436.566,11.785.235.834,3.198.042.391.737,1918223923511.0,1058365795826.0,209667436566.0,11785235834.0,3198042391737.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,22.684.207.621,260.235.930.950,75.818.061.111,5.961.473.990,364.699.673.672,22684207621.0,260235930950.0,75818061111.0,5961473990.0,364699673672.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,642.739.876.965,632.859.848.156,127.705.909.465,7.756.255.446,1.411.061.890.032,642739876965.0,632859848156.0,127705909465.0,7756255446.0,1411061890032.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,110.281.119.247,90.114.668.179,17.327.361.918,2.521.195.181,220.244.344.525,110281119247.0,90114668179.0,17327361918.0,2521195181.0,220244344525.0
- Phân loại từ tài sản thuê tài chính,Giá trị khấu hao lũy kế: > - Phân loại từ tài sản thuê tài chính,- Phân loại từ tài sản thuê tài chính,-,109.211.638.996,-,-,109.211.638.996,,109211638996.0,,,109211638996.0
- Điều chuyển tài sản cho công ty con,Giá trị khấu hao lũy kế: > - Điều chuyển tài sản cho công ty con,- Điều chuyển tài sản cho công ty con,-,(150.096.531.664),-,-,(150.096.531.664),,-150096531664.0,,,-150096531664.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(53.015.064.369),(2.597.468.477),(582.596.228),(56.195.129.074),,-53015064369.0,-2597468477.0,-582596228.0,-56195129074.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,753.020.996.212,629.074.559.298,142.435.802.906,9.694.854.399,1.534.226.212.815,753020996212.0,629074559298.0,142435802906.0,9694854399.0,1534226212815.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.224.687.577.341,615.294.876.528,69.452.695.578,2.417.628.998,1.911.852.778.445,1224687577341.0,615294876528.0,69452695578.0,2417628998.0,1911852778445.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.165.202.927.299,429.291.236.528,67.231.633.660,2.090.381.435,1.663.816.178.922,1165202927299.0,429291236528.0,67231633660.0,2090381435.0,1663816178922.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Tài sản sử dụng để thế chấp (*),Trong đó: > Tài sản sử dụng để thế chấp (*),Tài sản sử dụng để thế chấp (*),531.562.223.254,184.330.324.121,11.460.953.044,-,727.353.500.419,531562223254.0,184330324121.0,11460953044.0,,727353500419.0
