row_label_raw,row_label_full,"Lợi nhuận được chia từ các công ty con, công ty liên kết (Thuyết minh số 33)",Năm nay > 403.341.192.312,Đơn vị tính: VND > Năm trước > 82.077.716.399,numeric__Năm nay > 403.341.192.312,numeric__Đơn vị tính: VND > Năm trước > 82.077.716.399
"Lãi tiền gửi, cho vay","Lãi tiền gửi, cho vay","Lãi tiền gửi, cho vay",65.257.021.055,49.196.636.094,65257021055.0,49196636094.0
Thu nhập tài chính khác,Thu nhập tài chính khác,Thu nhập tài chính khác,2.945.099.602,-,2945099602.0,
Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,1.927.121,13.257.981,1927121.0,13257981.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,471.545.240.090,131.287.610.474,471545240090.0,131287610474.0
