row_label_raw,row_label_full,Tên đơn vị,Tên đơn vị_1,Số cuối năm > Giá trị (VND),Số cuối năm > Dự phòng (VND),Số cuối năm > Tỷ lệ vốn năm giữ,Số cuối năm > Tỷ lệ quyền biểu quyết,Số đầu năm > Giá trị (VND),Số đầu năm > Dự phòng (VND),Số đầu năm > Tỷ lệ vốn năm giữ,Số đầu năm > Tỷ lệ quyền biểu quyết,numeric__Tên đơn vị_1,numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Dự phòng (VND),numeric__Số cuối năm > Tỷ lệ vốn năm giữ,numeric__Số cuối năm > Tỷ lệ quyền biểu quyết,numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Dự phòng (VND),numeric__Số đầu năm > Tỷ lệ vốn năm giữ,numeric__Số đầu năm > Tỷ lệ quyền biểu quyết
Công ty Cổ phần Chế biến thực phẩm,Công ty Cổ phần Chế biến thực phẩm,Công ty Cổ phần Chế biến thực phẩm,Công ty Cổ phần Chế biến thực phẩm,,,,,,,,,,,,,,,,,
Dabaco,Công ty Cổ phần Chế biến thực phẩm > Dabaco,Dabaco,(i),114.000.000.000,(34.899.027.061),"49,56%","49,56%",114.000.000.000,(27.919.987.480),"49,56%","49,56%",,114000000000.0,-34899027061.0,0.49560000000000004,0.49560000000000004,114000000000.0,-27919987480.0,0.49560000000000004,0.49560000000000004
Công ty Cổ phần Transeco,Công ty Cổ phần Chế biến thực phẩm > Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,(ii),40.000.000.000,-,"30,30%","30,30%",20.000.000.000,-,"33,33%","33,33%",,40000000000.0,,0.303,0.303,20000000000.0,,0.3333,0.3333
TỔNG CỘNG,Công ty Cổ phần Chế biến thực phẩm > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,154.000.000.000,(34.899.027.061),,,134.000.000.000,(27.919.987.480),,,,154000000000.0,-34899027061.0,,,134000000000.0,-27919987480.0,,
