row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 18),Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 18),Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 18),Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 18),Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 18)
Công ty TNHH Dầu thực vật Dabaco,Công ty TNHH Dầu thực vật Dabaco,Công ty TNHH Dầu thực vật Dabaco,Công ty con,Mua hàng hóa,270.136.969.341,-,,,270136969341.0,
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty con,Mua hàng hóa,6.590.447.291,-,,,6590447291.0,
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,Cung cấp dịch vụ vận tải,-,8.034.958.807,,,,8034958807.0
,,,,,276.727.416.632,8.034.958.807,,,276727416632.0,8034958807.0
Người mua trả tiền trước ngắn hạn (Thuyết minh số 19),Người mua trả tiền trước ngắn hạn (Thuyết minh số 19),Người mua trả tiền trước ngắn hạn (Thuyết minh số 19),Người mua trả tiền trước ngắn hạn (Thuyết minh số 19),Người mua trả tiền trước ngắn hạn (Thuyết minh số 19),Người mua trả tiền trước ngắn hạn (Thuyết minh số 19),Người mua trả tiền trước ngắn hạn (Thuyết minh số 19),,,,
Công ty TNHH Dabaco Thanh Hóa,Người mua trả tiền trước ngắn hạn (Thuyết minh số 19) > Công ty TNHH Dabaco Thanh Hóa,Công ty TNHH Dabaco Thanh Hóa,Công ty con,Trả trước mua hàng hóa,304.201.300.515,83.677.450.877,,,304201300515.0,83677450877.0
Công ty TNHH Nutreco,Người mua trả tiền trước ngắn hạn (Thuyết minh số 19) > Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty con,Trả trước mua hàng hóa,195.855.192.836,147.414.963.557,,,195855192836.0,147414963557.0
Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,Người mua trả tiền trước ngắn hạn (Thuyết minh số 19) > Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,Công ty con,Trả trước mua hàng hóa,78.624.614.011,35.978.052.610,,,78624614011.0,35978052610.0
Công ty TNHH Du lịch và Khách sạn Le Indochina,Người mua trả tiền trước ngắn hạn (Thuyết minh số 19) > Công ty TNHH Du lịch và Khách sạn Le Indochina,Công ty TNHH Du lịch và Khách sạn Le Indochina,Công ty con,Trả trước mua hàng hóa,42.857.931.323,28.511.598.194,,,42857931323.0,28511598194.0
Công ty Cổ phần Dabaco Quảng Ninh,Người mua trả tiền trước ngắn hạn (Thuyết minh số 19) > Công ty Cổ phần Dabaco Quảng Ninh,Công ty Cổ phần Dabaco Quảng Ninh,Công ty con,Trả trước về giải phóng mặt bằng,40.763.750.000,56.523.000.000,,,40763750000.0,56523000000.0
Công ty Cổ phần Thịnh Phát Kim Sơn 1,Người mua trả tiền trước ngắn hạn (Thuyết minh số 19) > Công ty Cổ phần Thịnh Phát Kim Sơn 1,Công ty Cổ phần Thịnh Phát Kim Sơn 1,Công ty con,Trả trước về giải phóng mặt bằng,29.591.577.000,-,,,29591577000.0,
Công ty TNHH MTV Lợn giống Lạc Vệ,Người mua trả tiền trước ngắn hạn (Thuyết minh số 19) > Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty con,Trả trước khác,17.428.530.556,-,,,17428530556.0,
Công ty TNHH Đầu tư và Phát triển Cụm Công nghiệp Khúc Xuyên,Người mua trả tiền trước ngắn hạn (Thuyết minh số 19) > Công ty TNHH Đầu tư và Phát triển Cụm Công nghiệp Khúc Xuyên,Công ty TNHH Đầu tư và Phát triển Cụm Công nghiệp Khúc Xuyên,Công ty con,Trả trước khác,11.535.377.686,11.766.754.358,,,11535377686.0,11766754358.0
Công ty TNHH Xây dựng Hồ điều hòa Văn Miêu Bắc Ninh,Người mua trả tiền trước ngắn hạn (Thuyết minh số 19) > Công ty TNHH Xây dựng Hồ điều hòa Văn Miêu Bắc Ninh,Công ty TNHH Xây dựng Hồ điều hòa Văn Miêu Bắc Ninh,Công ty con,Trả trước khác,341.438.804,-,,,341438804.0,
Công ty TNHH Dầu thực vật Dabaco,Người mua trả tiền trước ngắn hạn (Thuyết minh số 19) > Công ty TNHH Dầu thực vật Dabaco,Công ty TNHH Dầu thực vật Dabaco,Công ty con,Trả trước mua hàng hóa,-,175.961.704.443,,,,175961704443.0
,,,,,721.199.712.731,539.833.524.039,,,721199712731.0,539833524039.0
