row_label_raw,row_label_full,col_0,Kinh doanh thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi,Kinh doanh bắt động sản và dịch vụ xây lắp và hoạt động thương mại khác,Điều chỉnh và loại trừ,Tổng cộng,numeric__Kinh doanh thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi,numeric__Kinh doanh bắt động sản và dịch vụ xây lắp và hoạt động thương mại khác,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,8.436.359.082.201,14.021.662.919,-,8.450.380.745.120,8436359082201.0,14021662919.0,,8450380745120.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Lợi nhuận kế toán,Kết quả > Lợi nhuận kế toán,Lợi nhuận kế toán,305.611.556.326,-,-,305.611.556.326,305611556326.0,,,305611556326.0
Lợi nhuận/(chi phí) không phân bổ (*),Kết quả > Lợi nhuận/(chi phí) không phân bổ (*),Lợi nhuận/(chi phí) không phân bổ (*),518.634.850.305,,,518.634.850.305,518634850305.0,,,518634850305.0
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,824.246.406.631,,,,824246406631.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,(69.315.833.462),,,,-69315833462.0
Thu nhập thuế TNDN hoãn lại,Kết quả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,,,,4.609.032.369,,,,4609032369.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,759.539.605.538,,,,759539605538.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,
Chi phí hình thành tài sản cố định,Các thông tin bộ phận khác > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,91.906.534.756,-,-,91.906.534.756,91906534756.0,,,91906534756.0
Khẩu hao,Các thông tin bộ phận khác > Khẩu hao,Khẩu hao,61.123.236.800,-,-,61.123.236.800,61123236800.0,,,61123236800.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,13.326.339.821.617,,,,13326339821617.0
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,6.138.970.437.795,611.052.938.113,-,6.750.023.375.908,6138970437795.0,611052938113.0,,6750023375908.0
Tài sản không phân bổ (**),Tài sản và nợ phải trả > Tài sản không phân bổ (**),Tài sản không phân bổ (**),,,,6.576.316.445.709,,,,6576316445709.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,5.895.698.686.359,,,,5895698686359.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,5.585.636.304.130,241.277.766.926,-,5.826.914.071.056,5585636304130.0,241277766926.0,,5826914071056.0
Nợ phải trả không phân bổ (***),Tài sản và nợ phải trả > Nợ phải trả không phân bổ (***),Nợ phải trả không phân bổ (***),,,,68.784.615.303,,,,68784615303.0
