row_label_raw,row_label_full,Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23)_1,Vay dài hạn (Thuyết minh số 23)_2,Vay dài hạn (Thuyết minh số 23)_3,numeric__Vay dài hạn (Thuyết minh số 23)_1,numeric__Vay dài hạn (Thuyết minh số 23)_2,numeric__Vay dài hạn (Thuyết minh số 23)_3
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty con,Vay dài hạn (*),432.000.000.000,,,432000000000.0
Công ty TNHH Du lịch & Khách sạn Le Indochina,Công ty TNHH Du lịch & Khách sạn Le Indochina,Công ty TNHH Du lịch & Khách sạn Le Indochina,Công ty con,Vay dài hạn (*),290.000.000.000,,,290000000000.0
Công ty TNHH Xây dựng Hồ điều hòa Văn Miếu Bắc Ninh,Công ty TNHH Xây dựng Hồ điều hòa Văn Miếu Bắc Ninh,Công ty TNHH Xây dựng Hồ điều hòa Văn Miếu Bắc Ninh,Công ty con,Vay dài hạn (*),239.600.000.000,,,239600000000.0
Công ty TNHH DABACO Quảng Trị,Công ty TNHH DABACO Quảng Trị,Công ty TNHH DABACO Quảng Trị,Công ty con,Vay dài hạn (*),190.000.000.000,,,190000000000.0
Công ty TNHH Xây dựng Đường H2 Thành phố Bắc Ninh,Công ty TNHH Xây dựng Đường H2 Thành phố Bắc Ninh,Công ty TNHH Xây dựng Đường H2 Thành phố Bắc Ninh,Công ty con,Vay dài hạn (*),179.000.000.000,,,179000000000.0
Công ty Cổ phần Giavico Việt Nam,Công ty Cổ phần Giavico Việt Nam,Công ty Cổ phần Giavico Việt Nam,Công ty con,Vay dài hạn (*),84.000.000.000,,,84000000000.0
Công ty CP Thịnh Phát Kim Sơn 1,Công ty CP Thịnh Phát Kim Sơn 1,Công ty CP Thịnh Phát Kim Sơn 1,Công ty con,Vay dài hạn (*),25.000.000.000,,,25000000000.0
Công ty TNHH Đầu tư và Phát triển Cụm Công nghiệp Khúc Xuyên,Công ty TNHH Đầu tư và Phát triển Cụm Công nghiệp Khúc Xuyên,Công ty TNHH Đầu tư và Phát triển Cụm Công nghiệp Khúc Xuyên,Công ty con,Vay dài hạn (*),5.000.000.000,,,5000000000.0
,,,,,1.444.600.000.000,,,1444600000000.0
