row_label_raw,row_label_full,Tên,Chức vụ,Đơn vị tính: VND,Đơn vị tính: VND_1,numeric__Chức vụ,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
Tên,Tên,Tên,Chức vụ,Thu nhập,Thu nhập,,,
Tên,Tên,Tên,Chức vụ,Năm nay,Năm trước,,,
Ông Nguyễn Như So,Tên > Ông Nguyễn Như So,Ông Nguyễn Như So,Chủ tịch HĐQT,3.280.180.000,2.729.701.000,,3280180000.0,2729701000.0
Ông Nguyễn Khắc Thảo,Tên > Ông Nguyễn Khắc Thảo,Ông Nguyễn Khắc Thảo,Phó Chủ tịch HĐQT kiểm Tổng Giám đốc,2.030.180.000,1.784.700.000,,2030180000.0,1784700000.0
Bà Nguyễn Thị Thu Hương,Tên > Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Phó Chủ tịch HĐQT kiểm Phó Tổng Giám đốc,1.640.180.000,1.329.700.000,,1640180000.0,1329700000.0
Ông Nguyễn Thế Tường,Tên > Ông Nguyễn Thế Tường,Ông Nguyễn Thế Tường,Thành viên HĐQT kiểm Phó Tổng Giám đốc,1.640.180.000,1.329.700.000,,1640180000.0,1329700000.0
Ông Nguyễn Văn Tuế,Tên > Ông Nguyễn Văn Tuế,Ông Nguyễn Văn Tuế,Phó Tổng Giám đốc,1.040.180.000,909.700.000,,1040180000.0,909700000.0
Ông Lê Minh Tuấn,Tên > Ông Lê Minh Tuấn,Ông Lê Minh Tuấn,Phó Tổng Giám đốc,1.040.180.000,909.700.000,,1040180000.0,909700000.0
Ông Đỗ Việt Quân,Tên > Ông Đỗ Việt Quân,Ông Đỗ Việt Quân,Phó Tổng Giám đốc,1.040.180.000,909.700.000,,1040180000.0,909700000.0
Ông Phạm Văn Học,Tên > Ông Phạm Văn Học,Ông Phạm Văn Học,Thành viên HĐQT từ 19 tháng 4 năm 2025 kiểm Phó Tổng Giám đốc,1.440.180.000,909.700.000,,1440180000.0,909700000.0
Bà Lê Thị Minh Thu,Tên > Bà Lê Thị Minh Thu,Bà Lê Thị Minh Thu,Phó Tổng Giám đốc,1.040.180.000,909.700.000,,1040180000.0,909700000.0
Bà Bùi Hải Huyền,Tên > Bà Bùi Hải Huyền,Bà Bùi Hải Huyền,Phó Tổng Giám đốc (miễn nhiệm ngày 1 tháng 2 năm 2024),-,85.000.000,,,85000000.0
Bà Nguyễn Thanh Hương,Tên > Bà Nguyễn Thanh Hương,Bà Nguyễn Thanh Hương,Thành viên HĐQT đến ngày 19 tháng 4 năm 2025,160.000.000,320.000.000,,160000000.0,320000000.0
Ông Hoàng Nguyên Học,Tên > Ông Hoàng Nguyên Học,Ông Hoàng Nguyên Học,Thành viên HĐQT,480.000.000,320.000.000,,480000000.0,320000000.0
Ông Bùi Văn Hoan,Tên > Ông Bùi Văn Hoan,Ông Bùi Văn Hoan,Thành viên HĐQT,480.000.000,320.000.000,,480000000.0,320000000.0
Ông Nguyễn Hoàng Nguyên,Tên > Ông Nguyễn Hoàng Nguyên,Ông Nguyễn Hoàng Nguyên,Thành viên HĐQT,600.000.000,420.000.000,,600000000.0,420000000.0
Ông Lê Quốc Đoàn,Tên > Ông Lê Quốc Đoàn,Ông Lê Quốc Đoàn,Thành viên HĐQT,600.000.000,420.000.000,,600000000.0,420000000.0
Ông Trần Công Nam,Tên > Ông Trần Công Nam,Ông Trần Công Nam,Thành viên HĐQT từ ngày 19 tháng 4 năm 2025,1.151.280.000,-,,1151280000.0,
Bà Trần Phương Lan,Tên > Bà Trần Phương Lan,Bà Trần Phương Lan,Thành viên HĐQT từ ngày 19 tháng 4 năm 2025,320.000.000,-,,320000000.0,
