row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.471.675.588,35.544.151.533,(38.014.345.813),1.481.308,2471675588.0,35544151533.0,-38014345813.0,1481308.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,57.967.300.533,69.315.833.462,(58.500.000.000),68.783.133.995,57967300533.0,69315833462.0,-58500000000.0,68783133995.0
Thuế nhập khẩu,Phải nộp > Thuế nhập khẩu,Thuế nhập khẩu,-,4.292.828.675,(4.292.828.675),-,,4292828675.0,-4292828675.0,
Thuế khác,Phải nộp > Thuế khác,Thuế khác,-,16.993.015.694,(16.993.015.694),-,,16993015694.0,-16993015694.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,60.438.976.121,126.145.829.364,(117.800.190.182),68.784.615.303,60438976121.0,126145829364.0,-117800190182.0,68784615303.0
,,,Số đầu năm,Số phải thu trong năm,Số đã thu trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,11.964.441.295,-,11.964.441.295,,11964441295.0,,11964441295.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,-,11.964.441.295,-,11.964.441.295,,11964441295.0,,11964441295.0
