row_label_raw,row_label_full,Ông Hồ Sỹ Quý,Trường ban,numeric__Trường ban
Bà Nguyễn Thị Bích,Bà Nguyễn Thị Bích,Bà Nguyễn Thị Bích,Thành viên,
Bà Nguyễn Thị Mai Hương,Bà Nguyễn Thị Mai Hương,Bà Nguyễn Thị Mai Hương,Thành viên,
Ông Nguyễn Thanh Hà,Ông Nguyễn Thanh Hà,Ông Nguyễn Thanh Hà,Thành viên,
