row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc,Máy móc thiết bị,Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa vật kiến trúc,numeric__Máy móc thiết bị,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,100.964.068.418,8.037.739.582,109.001.808.000,100964068418.0,8037739582.0,109001808000.0
- Kết chuyển từ xây dựng cơ bản dở dang,Nguyên giá: > - Kết chuyển từ xây dựng cơ bản dở dang,- Kết chuyển từ xây dựng cơ bản dở dang,500.000.000,-,500.000.000,500000000.0,,500000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,101.464.068.418,8.037.739.582,109.501.808.000,101464068418.0,8037739582.0,109501808000.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,,,
- Khấu hao trong năm,Số đầu năm > - Khấu hao trong năm,- Khấu hao trong năm,6.789.271.223,1.004.717.448,7.793.988.671,6789271223.0,1004717448.0,7793988671.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,6.789.271.223,1.004.717.448,7.793.988.671,6789271223.0,1004717448.0,7793988671.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,100.964.068.418,8.037.739.582,109.001.808.000,100964068418.0,8037739582.0,109001808000.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,94.674.797.195,7.033.022.134,101.707.819.329,94674797195.0,7033022134.0,101707819329.0
