row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng dài hạn (Chỉ tiêu 211),Mối quan hệ > Phải thu khách hàng dài hạn (Chỉ tiêu 211),Nội dung nghiệp vụ > Phải thu khách hàng dài hạn (Chỉ tiêu 211),Số cuối năm > Phải thu khách hàng dài hạn (Chỉ tiêu 211),Đơn vị tính: VND > Phải thu khách hàng dài hạn (Chỉ tiêu 211),numeric__Mối quan hệ > Phải thu khách hàng dài hạn (Chỉ tiêu 211),numeric__Nội dung nghiệp vụ > Phải thu khách hàng dài hạn (Chỉ tiêu 211),numeric__Số cuối năm > Phải thu khách hàng dài hạn (Chỉ tiêu 211),numeric__Đơn vị tính: VND > Phải thu khách hàng dài hạn (Chỉ tiêu 211)
Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty con,Phải thu về điều chuyển TSCĐ,210.365.649.862,291.005.298.199,,,210365649862.0,291005298199.0
Công ty TNHH Lợn giống Hà Nam,Công ty TNHH Lợn giống Hà Nam,Công ty TNHH Lợn giống Hà Nam,Công ty con,Phải thu về điều chuyển TSCĐ,128.086.263.644,146.707.373.014,,,128086263644.0,146707373014.0
Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty con,Phải thu về điều chuyển TSCĐ,113.178.822.225,144.010.575.805,,,113178822225.0,144010575805.0
Công ty TNHH Lợn giống Phú Thọ,Công ty TNHH Lợn giống Phú Thọ,Công ty TNHH Lợn giống Phú Thọ,Công ty con,Phải thu về điều chuyển TSCĐ,113.014.446.571,143.292.482.024,,,113014446571.0,143292482024.0
Công ty TNHH Dabaco Thanh Hóa,Công ty TNHH Dabaco Thanh Hóa,Công ty TNHH Dabaco Thanh Hóa,Công ty con,Phải thu về điều chuyển TSCĐ,96.325.366.599,-,,,96325366599.0,
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty con,Phải thu về điều chuyển TSCĐ,73.863.946.802,80.363.946.802,,,73863946802.0,80363946802.0
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty con,Phải thu về điều chuyển TSCĐ,64.904.820.296,73.761.617.193,,,64904820296.0,73761617193.0
Công ty TNHH Cằng và Logistics Tân Chi,Công ty TNHH Cằng và Logistics Tân Chi,Công ty TNHH Cằng và Logistics Tân Chi,Công ty con,Phải thu về điều chuyển TSCĐ,60.127.159.583,64.524.092.750,,,60127159583.0,64524092750.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty con,Phải thu về điều chuyển TSCĐ,44.761.681.994,21.460.709.798,,,44761681994.0,21460709798.0
Công ty TNHH Lợn giống Hải Phòng,Công ty TNHH Lợn giống Hải Phòng,Công ty TNHH Lợn giống Hải Phòng,Công ty con,Phải thu về điều chuyển TSCĐ,37.264.222.671,40.469.718.671,,,37264222671.0,40469718671.0
Công ty TNHH Đầu tư Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư Phát triển Chăn nuôi Lợn Dabaco,Công ty con,Phải thu về điều chuyển TSCĐ,36.153.890.002,62.153.890.002,,,36153890002.0,62153890002.0
Công ty TNHH Lợn giống Hạt nhân Dabaco,Công ty TNHH Lợn giống Hạt nhân Dabaco,Công ty TNHH Lợn giống Hạt nhân Dabaco,Công ty con,Phải thu về điều chuyển TSCĐ,27.954.320.293,36.772.632.150,,,27954320293.0,36772632150.0
Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty con,Phải thu về điều chuyển TSCĐ,6.161.000.069,-,,,6161000069.0,
Công ty TNHH Dầu thực vật Dabaco,Công ty TNHH Dầu thực vật Dabaco,Công ty TNHH Dầu thực vật Dabaco,Công ty con,Phải thu về điều chuyển TSCĐ,-,49.105.362.374,,,,49105362374.0
,,,,,1.012.161.590.611,1.153.627.698.782,,,1012161590611.0,1153627698782.0
