row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),Số đầu năm > Phát sinh tăng,Số phát sinh trong năm > Phát sinh giảm,Số phát sinh trong năm > Giá trị (đồng thời là số có khả năng trả nợ),Đơn vị tính: VND Số cuối năm,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Số đầu năm > Phát sinh tăng,numeric__Số phát sinh trong năm > Phát sinh giảm,numeric__Số phát sinh trong năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Đơn vị tính: VND Số cuối năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngắn hạn ngân hàng,Vay ngắn hạn > Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,23.1,2.671.356.983.592,6.884.197.536.107,(7.785.694.044.195),1.769.860.475.504,,231.0,2671356983592.0,6884197536107.0,-7785694044195.0,1769860475504.0,
Vay dài hạn đến hạn trả,Vay ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,23.2,174.304.041.646,127.440.000.000,(174.304.041.646),127.440.000.000,,232.0,174304041646.0,127440000000.0,-174304041646.0,127440000000.0,
Vay ngắn hạn bên liên quan,Vay ngắn hạn > Vay ngắn hạn bên liên quan,Vay ngắn hạn bên liên quan,33,-,60.000.000.000,-,60.000.000.000,,33.0,,60000000000.0,,60000000000.0,
Nợ thuê tài chính dài hạn đến hạn trả,Vay ngắn hạn > Nợ thuê tài chính dài hạn đến hạn trả,Nợ thuê tài chính dài hạn đến hạn trả,23.3,84.110.130.062,57.476.203.830,(87.176.175.973),54.410.157.919,,233.0,84110130062.0,57476203830.0,-87176175973.0,54410157919.0,
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,2.929.771.155.300,7.129.113.739.937,(8.047.174.261.814),2.011.710.633.423,,,2929771155300.0,7129113739937.0,-8047174261814.0,2011710633423.0,
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,23.2,265.654.000.000,108.761.655.809,(127.440.000.000),246.975.655.809,,232.0,265654000000.0,108761655809.0,-127440000000.0,246975655809.0,
Vay bên liên quan,Vay dài hạn > Vay bên liên quan,Vay bên liên quan,33,-,1.444.600.000.000,-,1.444.600.000.000,,33.0,,1444600000000.0,,1444600000000.0,
Nợ thuê tài chính,Vay dài hạn > Nợ thuê tài chính,Nợ thuê tài chính,23.3,107.675.302.094,3.211.842.000,(57.476.203.830),53.410.940.264,,233.0,107675302094.0,3211842000.0,-57476203830.0,53410940264.0,
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,373.329.302.094,1.556.573.497.809,(184.916.203.830),1.744.986.596.073,,,373329302094.0,1556573497809.0,-184916203830.0,1744986596073.0,
