row_label_raw,row_label_full,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai,Số cuối năm > 59.400.000.000,Số đầu năm > 59.400.000.000,numeric__Số cuối năm > 59.400.000.000,numeric__Số đầu năm > 59.400.000.000
Cộng,Cộng,Cộng,59.400.000.000,59.400.000.000,59400000000.0,59400000000.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,29.200.000.000,35.200.000.000,29200000000.0,35200000000.0
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,30.200.000.000,24.200.000.000,30200000000.0,24200000000.0
