row_label_raw,row_label_full,STT,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ vốn góp,Tỷ lệ vốn góp_1,Tỷ lệ phần sở hữu,Tỷ lệ phần sở hữu_1,Tỷ lệ quyền biểu quyết,Tỷ lệ quyền biểu quyết_1,numeric__Tên công ty,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ vốn góp,numeric__Tỷ lệ vốn góp_1,numeric__Tỷ lệ phần sở hữu,numeric__Tỷ lệ phần sở hữu_1,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ quyền biểu quyết_1
STT,STT,STT,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Đầu năm,Cuối năm,Đầu năm,Cuối năm,Đầu năm,Cuối năm,,,,,,,,,
1.,STT > 1.,1.,Công ty CP BOT & BT Đức Long Đắk Nông,"04 Điện Biên Phù, Tổ 3, P. Nghĩa Trung, TP Gia Nghĩa, Đắk Nông",Xây dựng công trình đường sắt và đường bộ,"70,6%","70,6%","70,6%","70,6%","70,6%","70,6%",,,,0.706,0.706,0.706,0.706,0.706,0.706
2.,STT > 2.,2.,Công ty CP BOT & BT Đức Long Gia Lai,"782 Hùng Vương, T.trấn Chư Sê, H.Chư Sê, Tỉnh Gia Lai",Đầu tư xây dựng công trình giao thông theo hình thức BOT,"73,50%","73,50%","73,50%","73,50%","73,50%","73,50%",,,,0.735,0.735,0.735,0.735,0.735,0.735
3.,STT > 3.,3.,Công ty Mass Noble Investment Limited,"957, Trung tâm doanh nghiệp nước ngoài Road Town, Tortola, Quản đảo Virgin Islands thuộc Anh","Sản xuất linh kiện, thiết bị điện tử, viễn thông công nghệ cao","97,73%","97,73%","97,73%","97,73%","97,73%","97,73%",,,,0.9773000000000001,0.9773000000000001,0.9773000000000001,0.9773000000000001,0.9773000000000001,0.9773000000000001
4.,STT > 4.,4.,Công ty CP Đầu tư và Phát triển Điện năng ĐLGL,"43 Lý Nam Đế, Phường Trà Bá, Thành Phố Pleiku, Tỉnh Gia Lai",Xây dựng và vận hành nhà máy thủy điện,"93,35%","93,35%","93,35%","93,35%","93,35%","93,35%",,,,0.9335,0.9335,0.9335,0.9335,0.9335,0.9335
