row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
Phải thu các bên liên quan,Phải thu các bên liên quan,Phải thu các bên liên quan,22.033.596.256,(17.992.460.560),24.066.757.588,(17.313.378.358),22033596256.0,-17992460560.0,24066757588.0,-17313378358.0
Công ty CP Dịch vụ Công cộng Đức Long Bảo Lộc,Công ty CP Dịch vụ Công cộng Đức Long Bảo Lộc,Công ty CP Dịch vụ Công cộng Đức Long Bảo Lộc,18.186.045.256,(15.902.269.560),16.746.045.256,(13.416.539.726),18186045256.0,-15902269560.0,16746045256.0,-13416539726.0
Công ty CP Tập đoàn Alpha Seven,Công ty CP Tập đoàn Alpha Seven,Công ty CP Tập đoàn Alpha Seven,2.701.600.000,(944.240.000),1.753.800.000,-,2701600000.0,-944240000.0,1753800000.0,
Công ty CP Đầu tư và Phát triển Điện năng ĐLGL,Công ty CP Đầu tư và Phát triển Điện năng ĐLGL,Công ty CP Đầu tư và Phát triển Điện năng ĐLGL,1.145.951.000,(1.145.951.000),1.145.951.000,(802.165.700),1145951000.0,-1145951000.0,1145951000.0,-802165700.0
Công ty TNHH Đức Long Dung Quát,Công ty TNHH Đức Long Dung Quát,Công ty TNHH Đức Long Dung Quát,-,-,4.420.961.332,(3.094.672.932),,,4420961332.0,-3094672932.0
Phải thu các khách hàng khác,Phải thu các khách hàng khác,Phải thu các khách hàng khác,651.513.886.747,(629.747.449.936),711.795.488.940,(645.549.847.773),651513886747.0,-629747449936.0,711795488940.0,-645549847773.0
Ông Lý Trần Tiến,Ông Lý Trần Tiến,Ông Lý Trần Tiến,391.021.500.000,(391.021.500.000),391.021.500.000,(391.021.500.000),391021500000.0,-391021500000.0,391021500000.0,-391021500000.0
Ông Nguyễn Tuấn Vũ,Ông Nguyễn Tuấn Vũ,Ông Nguyễn Tuấn Vũ,129.695.100.000,(129.695.100.000),133.295.100.000,(133.295.100.000),129695100000.0,-129695100000.0,133295100000.0,-133295100000.0
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,130.797.286.747,(109.030.849.936),187.478.888.940,(121.233.247.773),130797286747.0,-109030849936.0,187478888940.0,-121233247773.0
Cộng,Cộng,Cộng,673.547.483.003,(647.739.910.496),735.862.246.528,(662.863.226.131),673547483003.0,-647739910496.0,735862246528.0,-662863226131.0
