row_label_raw,row_label_full,Vay ngắn hạn các bên liên quan (Thuyết minh số V.19a),Số cuối năm > 45.447.061.747,Số đầu năm > 20.057.027.370,numeric__Số cuối năm > 45.447.061.747,numeric__Số đầu năm > 20.057.027.370
Các khoản mượn tiền khác,Các khoản mượn tiền khác,Các khoản mượn tiền khác,1.650.000.000,1.650.000.000,1650000000.0,1650000000.0
Vay ngắn hạn các tổ chức khác (Thuyết minh số V.19b),Vay ngắn hạn các tổ chức khác (Thuyết minh số V.19b),Vay ngắn hạn các tổ chức khác (Thuyết minh số V.19b),174.983.815.400,198.859.875.530,174983815400.0,198859875530.0
Trái phiếu phát hành đến hạn trả (Thuyết minh số V.19c),Trái phiếu phát hành đến hạn trả (Thuyết minh số V.19c),Trái phiếu phát hành đến hạn trả (Thuyết minh số V.19c),432.273.219.456,477.814.331.456,432273219456.0,477814331456.0
Vay dài hạn đến hạn trả (Thuyết minh số V.19d),Vay dài hạn đến hạn trả (Thuyết minh số V.19d),Vay dài hạn đến hạn trả (Thuyết minh số V.19d),356.476.992.489,357.041.836.912,356476992489.0,357041836912.0
Cộng (*),Cộng (*),Cộng (*),1.010.831.089.092,1.055.423.071.268,1010831089092.0,1055423071268.0
