row_label_raw,row_label_full,Số đầu năm,Năm nay > (3.389.586.325),Năm trước > (115.906.427),numeric__Năm nay > (3.389.586.325),numeric__Năm trước > (115.906.427)
Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,(53.963.437.752),(3.273.679.898),-53963437752.0,-3273679898.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,-,-,,
Xử lý dự phòng,Hoàn nhập dự phòng > Xử lý dự phòng,Xử lý dự phòng,3.389.586.325,-,3389586325.0,
Số cuối năm,Hoàn nhập dự phòng > Số cuối năm,Số cuối năm,(53.963.437.752),(3.389.586.325),-53963437752.0,-3389586325.0
