row_label_raw,row_label_full,col_0,Số đầu năm,Số tiền vay phát sinh trong năm,Chuyển sang vay nợ đến hạn trả,Số tiền vay đã trả trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số tiền vay phát sinh trong năm,numeric__Chuyển sang vay nợ đến hạn trả,numeric__Số tiền vay đã trả trong năm,numeric__Số cuối năm
Vay dài hạn ngân hang,Vay dài hạn ngân hang,Vay dài hạn ngân hang,35.200.000.000,-,(6.000.000.000),-,29.200.000.000,35200000000.0,,-6000000000.0,,29200000000.0
Cộng,Cộng,Cộng,35.200.000.000,-,(6.000.000.000),-,29.200.000.000,35200000000.0,,-6000000000.0,,29200000000.0
