row_label_raw,row_label_full,Ngân hàng TMCP Sài Gòn Thương Tín – Tp.HCM,Ngân hàng TMCP Sài Gòn Thương Tín – Tp.HCM_1,Ngân hàng TMCP Sài Gòn Thương Tín – Tp.HCM_2,Ngân hàng TMCP Sài Gòn Thương Tín – Tp.HCM_3,Ngân hàng TMCP Sài Gòn Thương Tín – Tp.HCM_4,numeric__Ngân hàng TMCP Sài Gòn Thương Tín – Tp.HCM_1,numeric__Ngân hàng TMCP Sài Gòn Thương Tín – Tp.HCM_2,numeric__Ngân hàng TMCP Sài Gòn Thương Tín – Tp.HCM_3,numeric__Ngân hàng TMCP Sài Gòn Thương Tín – Tp.HCM_4
"Hợp đồng tín dụng dư nợ giảmđần số LD 1134100059 ngày05/1/2012; thỏa thuận sửa đổi, bổsung số 03/LD1134100059 ngày25/6/2013","Hợp đồng tín dụng dư nợ giảmđần số LD 1134100059 ngày05/1/2012; thỏa thuận sửa đổi, bổsung số 03/LD1134100059 ngày25/6/2013","Hợp đồng tín dụng dư nợ giảmđần số LD 1134100059 ngày05/1/2012; thỏa thuận sửa đổi, bổsung số 03/LD1134100059 ngày25/6/2013",178.012.997.289,Thời hạn vay được điềuchính đến ngày31/12/2020 và thờigian ăn hạn ký trả nợgốc đầu tiên vào ngày30/6/2016,"Lãi suất áp dụng cho 3 tháng đầu tiên là20%/năm (áp dụng cho lần giải ngân đầutiên). Tại thời điểm bắt đầu tháng thứ 4, lãisuất của toàn bộ dư nợ vay sẽ do Ngân hàngđiều chỉnh theo định kỳ 3 tháng/lần.",Được bảo lãnh bởi ông Bùi Pháp(Chủ tịch HĐQT) và Tài sản cố địnhhữu hình của Công ty,178012997289.0,,,
Tổng cộng,Tổng cộng,Tổng cộng,350.476.992.489,,,,350476992489.0,,,
