row_label_raw,row_label_full,col_0,Sô cuối năm,Sô đầu năm,numeric__Sô cuối năm,numeric__Sô đầu năm
Phải trả cho các bên liên quan,Phải trả cho các bên liên quan,Phải trả cho các bên liên quan,17.859.180.492,15.911.785.236,17859180492.0,15911785236.0
Công ty CP BOT & BT Đức Long Gia lai,Công ty CP BOT & BT Đức Long Gia lai,Công ty CP BOT & BT Đức Long Gia lai,15.768.371.531,13.847.409.735,15768371531.0,13847409735.0
Công ty CP Tập đoàn Alpha Seven,Công ty CP Tập đoàn Alpha Seven,Công ty CP Tập đoàn Alpha Seven,2.064.375.501,2.064.375.501,2064375501.0,2064375501.0
Cty CP Đầu tư Xây dựng Đức Long Gia Lai,Cty CP Đầu tư Xây dựng Đức Long Gia Lai,Cty CP Đầu tư Xây dựng Đức Long Gia Lai,26.433.460,-,26433460.0,
Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác,655.305.870.134,553.019.503.012,655305870134.0,553019503012.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,652.893.213.026,550.404.355.054,652893213026.0,550404355054.0
Lãi trái phiếu chuyển đổi,Lãi trái phiếu chuyển đổi,Lãi trái phiếu chuyển đổi,1.443.858.450,1.443.858.450,1443858450.0,1443858450.0
Bảo hiểm,Bảo hiểm,Bảo hiểm,118.016.884,311.177.701,118016884.0,311177701.0
Phải trả khác,Phải trả khác,Phải trả khác,850.781.774,860.111.807,850781774.0,860111807.0
Cộng (*),Cộng (*),Cộng (*),673.165.050.626,568.931.288.248,673165050626.0,568931288248.0
