row_label_raw,row_label_full,col_0,"Hoạt động bán gỗ, thành phẩm từ gỗ",Hoạt động bán đá,Cho thuê tài sản,Hoạt động khác,Cộng,"numeric__Hoạt động bán gỗ, thành phẩm từ gỗ",numeric__Hoạt động bán đá,numeric__Cho thuê tài sản,numeric__Hoạt động khác,numeric__Cộng
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,2.198.322.000,24.199.785.000,4.657.909.091,-,31.056.016.091,2198322000.0,24199785000.0,4657909091.0,,31056016091.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,1.995.371.087,24.003.127.631,4.310.102.114,53.963.437.752,84.272.038.584,1995371087.0,24003127631.0,4310102114.0,53963437752.0,84272038584.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,202.950.913,196.657.369,347.806.977,(53.963.437.752),(53.216.022.493),202950913.0,196657369.0,347806977.0,-53963437752.0,-53216022493.0
