row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối năm VND,Giá trị ghi số > Số đầu năm (phân loại/trình bày lại) VND,numeric__Giá trị ghi số > Số cuối năm VND,numeric__Giá trị ghi số > Số đầu năm (phân loại/trình bày lại) VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.283.386.854.560,1.472.901.602.636,1283386854560.0,1472901602636.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,1.835.445.712.505,1.899.006.583.738,1835445712505.0,1899006583738.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.555.543.459.930,1.099.843.372.395,1555543459930.0,1099843372395.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,4.674.376.026.995,4.471.751.558.769,4674376026995.0,4471751558769.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,3.246.466.091.024,2.602.598.615.236,3246466091024.0,2602598615236.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.349.730.636.294,1.219.213.382.033,1349730636294.0,1219213382033.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,177.418.356.405,145.435.704.725,177418356405.0,145435704725.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,4.773.615.083.723,3.967.247.701.994,4773615083723.0,3967247701994.0
