row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm (trình bày lại),numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm (trình bày lại)
C.,C.,C.,NỘ PHẢI TRẢ,300,,5.530.022.086.393,4.776.996.251.435,,300.0,,5530022086393.0,4776996251435.0
I.,I.,I.,Nợ ngắn hạn,310,,2.449.919.250.097,2.195.907.057.512,,310.0,,2449919250097.0,2195907057512.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,17,676.929.311.844,629.989.077.562,,311.0,17.0,676929311844.0,629989077562.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,18,27.582.652.349,32.932.288.021,,312.0,18.0,27582652349.0,32932288021.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,19,61.500.561.988,113.097.974.120,,313.0,19.0,61500561988.0,113097974120.0
4.,4.,4.,Phải trả người lao động,314,,238.876.431.333,222.982.410.895,,314.0,,238876431333.0,222982410895.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,20,177.418.356.405,157.785.320.369,,315.0,20.0,177418356405.0,157785320369.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,18.596.984.788,1.524.512.038,,318.0,,18596984788.0,1524512038.0
7.,7.,7.,Phải trả ngắn hạn khác,319,21,139.133.687.936,144.407.501.145,,319.0,21.0,139133687936.0,144407501145.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,22,778.354.285.393,615.118.710.370,,320.0,22.0,778354285393.0,615118710370.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,23,205.134.348.371,160.065.418.248,,321.0,23.0,205134348371.0,160065418248.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,126.392.629.690,118.003.844.744,,322.0,,126392629690.0,118003844744.0
II.,II.,II.,Nợ dài hạn,330,,3.080.102.836.296,2.581.089.193.923,,330.0,,3080102836296.0,2581089193923.0
1.,1.,1.,Chi phí phải trả dài hạn,333,20,,4.838.946.703,,333.0,20.0,,4838946703.0
2.,2.,2.,Phải trả dài hạn khác,337,21,538.893.676.840,449.669.433.600,,337.0,21.0,538893676840.0,449669433600.0
3.,3.,3.,Vay và nợ thuê tài chính dài hạn,338,24,2.468.111.805.631,1.987.479.904.866,,338.0,24.0,2468111805631.0,1987479904866.0
4.,4.,4.,Dự phòng phải trả dài hạn,342,23,73.097.353.825,139.100.908.754,,342.0,23.0,73097353825.0,139100908754.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,6.963.197.715.178,6.322.400.133.296,,400.0,,6963197715178.0,6322400133296.0
I.,I.,I.,Vốn chủ sở hữu,410,25,6.963.197.715.178,6.322.400.133.296,,410.0,25.0,6963197715178.0,6322400133296.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.236.512.460.000,3.236.512.460.000,,411.0,,3236512460000.0,3236512460000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.236.512.460.000,3.236.512.460.000,,,,3236512460000.0,3236512460000.0
2.,2.,2.,Quỹ đầu tư phát triển,418,,967.502.014.089,726.264.850.938,,418.0,,967502014089.0,726264850938.0
3.,3.,3.,Quỹ khác thuộc vốn chủ sở hữu,420,,47.218.399.245,47.218.399.245,,420.0,,47218399245.0,47218399245.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,943.632.958.523,897.900.556.915,,421.0,,943632958523.0,897900556915.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,283.876.223.955,221.815.047.791,,,,283876223955.0,221815047791.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,659.756.734.568,676.085.509.124,,,,659756734568.0,676085509124.0
5.,5.,5.,Lợi ích cổ đông không kiểm soát,429,,1.768.331.883.321,1.414.503.866.198,,429.0,,1768331883321.0,1414503866198.0
,,,TỔNG CÔNG NGUỒN VỐN(440=300+400),440,,12.493.219.801.571,11.099.396.384.731,,440.0,,12493219801571.0,11099396384731.0
