row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(trình bày lại),numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(trình bày lại)
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,7.643.491.677.948,6.437.325.644.055,,200.0,,7643491677948.0,6437325644055.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,109.810.733.438,19.751.742.208,,210.0,,109810733438.0,19751742208.0
1.,1.,1.,Phải thu dài hạn khác,216,7,109.810.733.438,19.751.742.208,,216.0,7.0,109810733438.0,19751742208.0
II.,II.,II.,Tài sản cố định,220,,6.975.627.100.741,5.860.054.469.445,,220.0,,6975627100741.0,5860054469445.0
1.,1.,1.,Tài sản cố định hữu hình,221,10,6.974.737.026.186,5.858.554.594.549,,221.0,10.0,6974737026186.0,5858554594549.0
,,,- Nguyên giá,222,,12.303.483.478.842,10.538.865.727.752,,222.0,,12303483478842.0,10538865727752.0
,,,- Giá trị hao mòn lũy kế,223,,(5.328.746.452.656),(4.680.311.133.203),,223.0,,-5328746452656.0,-4680311133203.0
2.,2.,2.,Tài sản cố định vô hình,227,11,890.074.555,1.499.874.896,,227.0,11.0,890074555.0,1499874896.0
,,,- Nguyên giá,228,,8.478.184.397,8.340.073.473,,228.0,,8478184397.0,8340073473.0
,,,- Giá trị hao mòn lũy kế,229,,(7.588.109.842),(6.840.198.577),,229.0,,-7588109842.0,-6840198577.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,1.532.089.450,155.630.810.797,,240.0,,1532089450.0,155630810797.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,12,1.532.089.450,155.630.810.797,,242.0,12.0,1532089450.0,155630810797.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,,194.132.707.726,204.766.329.022,,250.0,,194132707726.0,204766329022.0
1.,1.,1.,Đầu tư vào công ty liên kết,252,13,148.194.940.426,158.828.561.722,,252.0,13.0,148194940426.0,158828561722.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,14,45.937.767.300,45.937.767.300,,253.0,14.0,45937767300.0,45937767300.0
V.,V.,V.,Tài sản dài hạn khác,260,,362.389.046.593,197.122.292.583,,260.0,,362389046593.0,197122292583.0
1.,1.,1.,Chi phí trả trước dài hạn,261,15,268.265.136.424,96.761.454.829,,261.0,15.0,268265136424.0,96761454829.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,16,94.123.910.169,100.360.837.754,,262.0,16.0,94123910169.0,100360837754.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,12.493.219.801.571,11.099.396.384.731,,270.0,,12493219801571.0,11099396384731.0
