row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước(trình bày lại),numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước(trình bày lại)
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,,7.460.234.126.265,7.382.693.923.902,,1.0,,7460234126265.0,7382693923902.0
2.,2.,2.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),10,28,7.460.234.126.265,7.382.693.923.902,,10.0,28.0,7460234126265.0,7382693923902.0
3.,3.,3.,Giá vốn hàng bán và dịch vụ cung cấp,11,29,6.222.277.497.227,6.252.788.728.382,,11.0,29.0,6222277497227.0,6252788728382.0
4.,4.,4.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,1.237.956.629.038,1.129.905.195.520,,20.0,,1237956629038.0,1129905195520.0
5.,5.,5.,Doanh thu hoạt động tài chính,21,31,180.227.299.307,272.212.217.378,,21.0,31.0,180227299307.0,272212217378.0
6.,6.,6.,Chi phí tài chính,22,32,156.483.569.802,173.689.228.736,,22.0,32.0,156483569802.0,173689228736.0
,,,- Trong đó: Chi phí lãi vay,23,,142.674.860.677,142.978.691.865,,23.0,,142674860677.0,142978691865.0
7.,7.,7.,Phần lãi trong công ty liên kết,24,13,24.549.751.684,29.649.082.386,,24.0,13.0,24549751684.0,29649082386.0
8.,8.,8.,Chi phí bán hàng,25,33,10.492.585.874,13.866.288.559,,25.0,33.0,10492585874.0,13866288559.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,33,277.486.387.570,250.661.978.044,,26.0,33.0,277486387570.0,250661978044.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+24+(21-22)-(25+26)),30,,998.271.136.783,993.548.999.945,,30.0,,998271136783.0,993548999945.0
11.,11.,11.,Thu nhập khác,31,,75.325.766.548,75.499.031.033,,31.0,,75325766548.0,75499031033.0
12.,12.,12.,Chi phí khác,32,,33.380.207.674,17.884.954.096,,32.0,,33380207674.0,17884954096.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,34,41.945.558.874,57.614.076.937,,40.0,34.0,41945558874.0,57614076937.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.040.216.695.657,1.051.163.076.882,,50.0,,1040216695657.0,1051163076882.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,35,199.465.028.044,243.142.733.327,,51.0,35.0,199465028044.0,243142733327.0
16.,16.,16.,Chi phí/(thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,16,6.236.927.585,(35.348.137.825),,52.0,16.0,6236927585.0,-35348137825.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,834.514.740.028,843.368.481.380,,60.0,,834514740028.0,843368481380.0
,,,Phân bổ cho:- Lợi nhuận sau thuế của cổ đông của Công ty mẹ,,,659.756.734.568,676.085.509.124,,,,659756734568.0,676085509124.0
,,,- Lợi nhuận sau thuế của cổ đông không kiểm soát,,,174.758.005.460,167.282.972.256,,,,174758005460.0,167282972256.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,36,1.933,1.981,,70.0,36.0,1933.0,1981.0
