row_label_raw,row_label_full,Số cuối năm,Dưới 1 nămVND > Số cuối năm,Từ 1 đến 5 nămVND > Số cuối năm,Trên 5 nămVND > Số cuối năm,TổngVND > Số cuối năm,numeric__Dưới 1 nămVND > Số cuối năm,numeric__Từ 1 đến 5 nămVND > Số cuối năm,numeric__Trên 5 nămVND > Số cuối năm,numeric__TổngVND > Số cuối năm
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.283.386.854.560,-,-,1.283.386.854.560,1283386854560.0,,,1283386854560.0
Đầu tư tài chính,Đầu tư tài chính,Đầu tư tài chính,1.789.507.945.205,-,45.937.767.300,1.835.445.712.505,1789507945205.0,,45937767300.0,1835445712505.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.445.732.726.492,109.810.733.438,-,1.555.543.459.930,1445732726492.0,109810733438.0,,1555543459930.0
,,,4.518.627.526.257,109.810.733.438,45.937.767.300,4.674.376.026.995,4518627526257.0,109810733438.0,45937767300.0,4674376026995.0
Các khoản vay,Các khoản vay,Các khoản vay,778.354.285.393,1.997.943.168.980,470.168.636.651,3.246.466.091.024,778354285393.0,1997943168980.0,470168636651.0,3246466091024.0
Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,810.836.959.454,183.157.984.040,355.735.692.800,1.349.730.636.294,810836959454.0,183157984040.0,355735692800.0,1349730636294.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,177.418.356.405,-,-,177.418.356.405,177418356405.0,,,177418356405.0
,,,1.766.609.601.252,2.181.101.153.020,825.904.329.451,4.773.615.083.723,1766609601252.0,2181101153020.0,825904329451.0,4773615083723.0
Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,2.752.017.925.005,(2.071.290.419.582),(779.966.562.151),(99.239.056.728),2752017925005.0,-2071290419582.0,-779966562151.0,-99239056728.0
,,,Dưới 1 nămVND,Từ 1 đến 5 nămVND,Trên 5 nămVND,TổngVND,,,,
Số đầu năm (phân loại/trình bày lại),Số đầu năm (phân loại/trình bày lại),Số đầu năm (phân loại/trình bày lại),Số đầu năm (phân loại/trình bày lại),Số đầu năm (phân loại/trình bày lại),Số đầu năm (phân loại/trình bày lại),Số đầu năm (phân loại/trình bày lại),,,,
Tiền và các khoản tương đương tiền,Số đầu năm (phân loại/trình bày lại) > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.472.901.602.636,-,-,1.472.901.602.636,1472901602636.0,,,1472901602636.0
Đầu tư tài chính,Số đầu năm (phân loại/trình bày lại) > Đầu tư tài chính,Đầu tư tài chính,1.853.068.816.438,-,45.937.767.300,1.899.006.583.738,1853068816438.0,,45937767300.0,1899006583738.0
Phải thu khách hàng và phải thu khác,Số đầu năm (phân loại/trình bày lại) > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.080.091.630.187,19.751.742.208,-,1.099.843.372.395,1080091630187.0,19751742208.0,,1099843372395.0
,,,4.406.062.049.261,19.751.742.208,45.937.767.300,4.471.751.558.769,4406062049261.0,19751742208.0,45937767300.0,4471751558769.0
Các khoản vay,Số đầu năm (phân loại/trình bày lại) > Các khoản vay,Các khoản vay,615.118.710.370,1.708.030.072.765,279.449.832.101,2.602.598.615.236,615118710370.0,1708030072765.0,279449832101.0,2602598615236.0
Phải trả người bán và phải trả khác,Số đầu năm (phân loại/trình bày lại) > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,769.543.948.433,93.933.740.800,355.735.692.800,1.219.213.382.033,769543948433.0,93933740800.0,355735692800.0,1219213382033.0
Chi phí phải trả,Số đầu năm (phân loại/trình bày lại) > Chi phí phải trả,Chi phí phải trả,140.596.758.022,4.838.946.703,-,145.435.704.725,140596758022.0,4838946703.0,,145435704725.0
,,,1.525.259.416.825,1.806.802.760.268,635.185.524.901,3.967.247.701.994,1525259416825.0,1806802760268.0,635185524901.0,3967247701994.0
Chênh lệch thanh khoản thuần,Số đầu năm (phân loại/trình bày lại) > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,2.880.802.632.436,(1.787.051.018.060),(589.247.757.601),504.503.856.775,2880802632436.0,-1787051018060.0,-589247757601.0,504503856775.0
