row_label_raw,row_label_full,Năm trước (trình bày lại),Năm trước (trình bày lại)_1,Năm trước (trình bày lại)_2,Năm trước (trình bày lại)_3,Năm trước (trình bày lại)_4,Năm trước (trình bày lại)_5,numeric__Năm trước (trình bày lại)_1,numeric__Năm trước (trình bày lại)_2,numeric__Năm trước (trình bày lại)_3,numeric__Năm trước (trình bày lại)_4,numeric__Năm trước (trình bày lại)_5
,,,Dịch vụ vận tảiVND,Dịch vụ hànghải dầu khíVND,Thương mạiVND,Dịch vụ khácVND,TổngVND,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,4.653.061.962.346,1.576.061.885.317,1.145.570.239.366,7.999.836.873,7.382.693.923.902,4653061962346.0,1576061885317.0,1145570239366.0,7999836873.0,7382693923902.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,4.653.061.962.346,1.576.061.885.317,1.145.570.239.366,7.999.836.873,7.382.693.923.902,4653061962346.0,1576061885317.0,1145570239366.0,7999836873.0,7382693923902.0
Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,,,,,
Giá vốn từ bán hàng ra bên ngoài,Giá vốn > Giá vốn từ bán hàng ra bên ngoài,Giá vốn từ bán hàng ra bên ngoài,3.919.952.802.698,1.194.591.383.912,1.133.785.804.611,4.458.737.161,6.252.788.728.382,3919952802698.0,1194591383912.0,1133785804611.0,4458737161.0,6252788728382.0
Tổng giá vốn,Giá vốn > Tổng giá vốn,Tổng giá vốn,3.919.952.802.698,1.194.591.383.912,1.133.785.804.611,4.458.737.161,6.252.788.728.382,3919952802698.0,1194591383912.0,1133785804611.0,4458737161.0,6252788728382.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,733.109.159.648,381.470.501.405,11.784.434.755,3.541.099.712,1.129.905.195.520,733109159648.0,381470501405.0,11784434755.0,3541099712.0,1129905195520.0
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(264.528.266.603),,,,,-264528266603.0
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,865.376.928.917,,,,,865376928917.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,272.212.217.378,,,,,272212217378.0
Phần lãi trong công ty liên kết,Kết quả hoạt động kinh doanh > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,29.649.082.386,,,,,29649082386.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,57.614.076.937,,,,,57614076937.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,(173.689.228.736),,,,,-173689228736.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,1.051.163.076.882,,,,,1051163076882.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(243.142.733.327),,,,,-243142733327.0
Thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,35.348.137.825,,,,,35348137825.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,843.368.481.380,,,,,843368481380.0
Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,,,,,
Khấu hao,Thông tin khác > Khấu hao,Khấu hao,,,,,877.287.072.977,,,,,877287072977.0
