row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc VND","Máy móc, thiết bị VND",Phương tiện vận tải VND,Thiết bị văn phòng VND,Tổng VND,"numeric__Nhà cửa, vật kiến trúc VND","numeric__Máy móc, thiết bị VND",numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.833.645.056,10.512.383.085,10.503.184.756.769,18.334.942.842,10.538.865.727.752,6833645056.0,10512383085.0,10503184756769.0,18334942842.0,10538865727752.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,11.542.936.984,1.916.512.139.664,1.238.760.817,1.929.293.837.465,,11542936984.0,1916512139664.0,1238760817.0,1929293837465.0
Xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Xây dựng cơ bản hoàn thành,Xây dựng cơ bản hoàn thành,-,-,175.803.230.326,-,175.803.230.326,,,175803230326.0,,175803230326.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(340.184.843.156),(294.473.545),(340.479.316.701),,,-340184843156.0,-294473545.0,-340479316701.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,2.180.194.374,(1.523.275.058),(656.919.316),-,,2180194374.0,-1523275058.0,-656919316.0,
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.833.645.056,24.235.514.443,12.253.792.008.545,18.622.310.798,12.303.483.478.842,6833645056.0,24235514443.0,12253792008545.0,18622310798.0,12303483478842.0
GIÁ TRỊ HAO MÒN LƯỢ KẾ,GIÁ TRỊ HAO MÒN LƯỢ KẾ,GIÁ TRỊ HAO MÒN LƯỢ KẾ,GIÁ TRỊ HAO MÒN LƯỢ KẾ,GIÁ TRỊ HAO MÒN LƯỢ KẾ,GIÁ TRỊ HAO MÒN LƯỢ KẾ,GIÁ TRỊ HAO MÒN LƯỢ KẾ,GIÁ TRỊ HAO MÒN LƯỢ KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LƯỢ KẾ > Số dư đầu năm,Số dư đầu năm,(697.142.928),(6.605.316.594),(4.656.244.516.236),(16.764.157.445),(4.680.311.133.203),-697142928.0,-6605316594.0,-4656244516236.0,-16764157445.0,-4680311133203.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LƯỢ KẾ > Khấu hao trong năm,Khấu hao trong năm,(300.046.224),(848.654.541),(925.771.289.206),(1.955.075.611),(928.875.065.582),-300046224.0,-848654541.0,-925771289206.0,-1955075611.0,-928875065582.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LƯỢ KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,280.145.272.584,294.473.545,280.439.746.129,,,280145272584.0,294473545.0,280439746129.0
Phân loại lại,GIÁ TRỊ HAO MÒN LƯỢ KẾ > Phân loại lại,Phân loại lại,(52.972.632),(1.518.321.430),1.010.376.679,560.917.383,-,-52972632.0,-1518321430.0,1010376679.0,560917383.0,
Số dư cuối năm,GIÁ TRỊ HAO MÒN LƯỢ KẾ > Số dư cuối năm,Số dư cuối năm,(1.050.161.784),(8.972.292.565),(5.300.860.156.179),(17.863.842.128),(5.328.746.452.656),-1050161784.0,-8972292565.0,-5300860156179.0,-17863842128.0,-5328746452656.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,5.783.483.272,15.263.221.878,6.952.931.852.366,758.468.670,6.974.737.026.186,5783483272.0,15263221878.0,6952931852366.0,758468670.0,6974737026186.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,6.136.502.128,3.907.066.491,5.846.940.240.533,1.570.785.397,5.858.554.594.549,6136502128.0,3907066491.0,5846940240533.0,1570785397.0,5858554594549.0
