row_label_raw,row_label_full,col_0,Chi phí sửa chữa lớntàu đầu thôvà sản phẩm khíVND,Dự phòng khácVND,Tổng cộngVND,numeric__Chi phí sửa chữa lớntàu đầu thôvà sản phẩm khíVND,numeric__Dự phòng khácVND,numeric__Tổng cộngVND
Số dư đầu năm (trình bày lại),Số dư đầu năm (trình bày lại),Số dư đầu năm (trình bày lại),272.032.697.627,27.133.629.375,299.166.327.002,272032697627.0,27133629375.0,299166327002.0
Trích lập trong năm,Trích lập trong năm,Trích lập trong năm,191.312.134.913,21.537.755.228,212.849.890.141,191312134913.0,21537755228.0,212849890141.0
Hoàn nhập trong năm,Hoàn nhập trong năm,Hoàn nhập trong năm,(74.226.779.158),(16.544.702.704),(90.771.481.862),-74226779158.0,-16544702704.0,-90771481862.0
Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,(143.013.033.085),-,(143.013.033.085),-143013033085.0,,-143013033085.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,246.105.020.297,32.126.681.899,278.231.702.196,246105020297.0,32126681899.0,278231702196.0
