row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cố động không kiểm soát VND,Tổng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cố động không kiểm soát VND,numeric__Tổng VND
Số dư đầu năm trước (trình bày lại),Số dư đầu năm trước (trình bày lại),Số dư đầu năm trước (trình bày lại),2.814.401.620.000,528.672.745.977,47.218.399.245,1.006.493.471.928,1.324.745.728.681,5.721.531.965.831,2814401620000.0,528672745977.0,47218399245.0,1006493471928.0,1324745728681.0,5721531965831.0
Lợi nhuận trong năm (trình bày lại),Lợi nhuận trong năm (trình bày lại),Lợi nhuận trong năm (trình bày lại),-,-,-,676.085.509.124,167.282.972.256,843.368.481.380,,,,676085509124.0,167282972256.0,843368481380.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,422.110.840.000,-,-,(534.686.904.800),(67.774.424.000),(180.350.488.800),422110840000.0,,,-534686904800.0,-67774424000.0,-180350488800.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,-,197.592.104.961,-,(197.771.255.851),(188.942.165),(368.093.055),,197592104961.0,,-197771255851.0,-188942165.0,-368093055.0
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(41.001.422.458),(6.165.858.076),(47.167.280.534),,,,-41001422458.0,-6165858076.0,-47167280534.0
"Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị",-,-,-,(8.775.100.876),(1.641.814.345),(10.416.915.221),,,,-8775100876.0,-1641814345.0,-10416915221.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,(2.443.740.152),(1.753.796.153),(4.197.536.305),,,,-2443740152.0,-1753796153.0,-4197536305.0
Số dư đầu năm nay (trình bày lại),Số dư đầu năm nay (trình bày lại),Số dư đầu năm nay (trình bày lại),3.236.512.460.000,726.264.850.938,47.218.399.245,897.900.556.915,1.414.503.866.198,6.322.400.133.296,3236512460000.0,726264850938.0,47218399245.0,897900556915.0,1414503866198.0,6322400133296.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,-,-,-,-,238.921.780.000,238.921.780.000,,,,,238921780000.0,238921780000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,659.756.734.568,174.758.005.460,834.514.740.028,,,,659756734568.0,174758005460.0,834514740028.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,(323.651.246.000),(50.497.408.000),(374.148.654.000),,,,-323651246000.0,-50497408000.0,-374148654000.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,-,241.237.163.151,-,(241.433.193.162),(192.525.276),(388.555.287),,241237163151.0,,-241433193162.0,-192525276.0,-388555287.0
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(35.006.120.444),(6.845.223.556),(41.851.344.000),,,,-35006120444.0,-6845223556.0,-41851344000.0
"Thù lao Ban Tổng Giám Đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám Đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám Đốc, Hội đồng Quản trị",-,-,-,(8.200.414.982),(2.206.596.896),(10.407.011.878),,,,-8200414982.0,-2206596896.0,-10407011878.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,(5.733.358.372),(110.014.609),(5.843.372.981),,,,-5733358372.0,-110014609.0,-5843372981.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.236.512.460.000,967.502.014.089,47.218.399.245,943.632.958.523,1.768.331.883.321,6.963.197.715.178,3236512460000.0,967502014089.0,47218399245.0,943632958523.0,1768331883321.0,6963197715178.0
