row_label_raw,row_label_full,col_0,Phàn mèmVND,Giấy chứng nhậnVND,TổngVND,numeric__Phàn mèmVND,numeric__Giấy chứng nhậnVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,8.163.732.923,176.340.550,8.340.073.473,8163732923.0,176340550.0,8340073473.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,260.710.924,-,260.710.924,260710924.0,,260710924.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,(122.600.000),-,(122.600.000),-122600000.0,,-122600000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,8.301.843.847,176.340.550,8.478.184.397,8301843847.0,176340550.0,8478184397.0
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,(6.724.122.316),(116.076.261),(6.840.198.577),-6724122316.0,-116076261.0,-6840198577.0
Khấu hao trong năm,NGUYÊN GIÁ > Khấu hao trong năm,Khấu hao trong năm,(863.219.608),(7.291.657),(870.511.265),-863219608.0,-7291657.0,-870511265.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,122.600.000,-,122.600.000,122600000.0,,122600000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,(7.464.741.924),(123.367.918),(7.588.109.842),-7464741924.0,-123367918.0,-7588109842.0
GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,,,
Tại ngày cuối năm,GIÁ TRI CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,837.101.923,52.972.632,890.074.555,837101923.0,52972632.0,890074555.0
Tại ngày đầu năm,GIÁ TRI CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.439.610.607,60.264.289,1.499.874.896,1439610607.0,60264289.0,1499874896.0
