row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải thu trong nămVND,Số đã thực thu trong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải thu trong nămVND,numeric__Số đã thực thu trong nămVND,numeric__Số cuối nămVND
a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,,,,
Thuế giá trị gia tăng,a) Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,18.995.773,-,-,18.995.773,18995773.0,,,18995773.0
Thuế thu nhập doanh nghiệp,a) Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,3.647.628.300,-,3.647.628.300,,3647628300.0,,3647628300.0
Thuế thu nhập cá nhân,a) Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,5.055.116,115.979.629,95.109.176,25.925.569,5055116.0,115979629.0,95109176.0,25925569.0
Các loại thuế khác,a) Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,-,1.954.842,-,1.954.842,,1954842.0,,1954842.0
,,,24.050.889,3.765.562.771,95.109.176,3.694.504.484,24050889.0,3765562771.0,95109176.0,3694504484.0
,,,Số đầu năm(trình bày lại)VND,Số phải nộp trong nămVND,Số đã thực nộp trong nămVND,Số cuối nămVND,,,,
b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,,,,
Thuế giá trị gia tăng,b) Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,21.951.803.507,173.682.380.333,192.063.566.710,3.570.617.130,21951803507.0,173682380333.0,192063566710.0,3570617130.0
"Thuế xuất, nhập khẩu","b) Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",47.180.003,22.521.343.251,22.556.309.905,12.213.349,47180003.0,22521343251.0,22556309905.0,12213349.0
Thuế thu nhập doanh nghiệp,b) Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,83.947.823.999,199.465.028.044,231.013.922.216,52.398.929.827,83947823999.0,199465028044.0,231013922216.0,52398929827.0
Thuế thu nhập cá nhân,b) Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.783.234.241,43.136.456.740,44.448.111.927,5.471.579.054,6783234241.0,43136456740.0,44448111927.0,5471579054.0
Thuế nhà thầu,b) Các khoản phải trả > Thuế nhà thầu,Thuế nhà thầu,331.973.498,2.787.297.059,3.119.270.557,-,331973498.0,2787297059.0,3119270557.0,
Thuế môn bài,b) Các khoản phải trả > Thuế môn bài,Thuế môn bài,-,28.000.000,28.000.000,-,,28000000.0,28000000.0,
Các loại thuế khác,b) Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,35.958.872,7.599.494.931,7.588.231.175,47.222.628,35958872.0,7599494931.0,7588231175.0,47222628.0
,,,113.097.974.120,449.220.000.358,500.817.412.490,61.500.561.988,113097974120.0,449220000358.0,500817412490.0,61500561988.0
