row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm nayVND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm trướcVND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm nayVND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm trướcVND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm
Chi phí lương,Chi phí lương,Chi phí lương,155.481.717.982,138.325.838.256,155481717982.0,138325838256.0
Chi phí khác,Chi phí khác,Chi phí khác,122.083.001.010,134.727.914.794,122083001010.0,134727914794.0
Các khoản ghi giảm chi phí quản lý doanh nghiệp,Các khoản ghi giảm chi phí quản lý doanh nghiệp,Các khoản ghi giảm chi phí quản lý doanh nghiệp,Các khoản ghi giảm chi phí quản lý doanh nghiệp,Các khoản ghi giảm chi phí quản lý doanh nghiệp,,
Hoàn nhập dự phòng nợ phải thu khó đòi,Các khoản ghi giảm chi phí quản lý doanh nghiệp > Hoàn nhập dự phòng nợ phải thu khó đòi,Hoàn nhập dự phòng nợ phải thu khó đòi,(78.331.422),(22.391.775.006),-78331422.0,-22391775006.0
,,,277.486.387.570,250.661.978.044,277486387570.0,250661978044.0
Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,,
Chi phí dịch vụ mua ngoài,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,6.165.906.423,9.212.470.433,6165906423.0,9212470433.0
Chi phí khác,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí khác,Chi phí khác,4.326.679.451,4.653.818.126,4326679451.0,4653818126.0
,,,10.492.585.874,13.866.288.559,10492585874.0,13866288559.0
