row_label_raw,row_label_full,Số cuối năm,Dịch vụ vận tảiVND,Dịch vụ hànghải đầu khíVND,Thương mạiVND,Dịch vụ khácVND,TổngVND,numeric__Dịch vụ vận tảiVND,numeric__Dịch vụ hànghải đầu khíVND,numeric__Thương mạiVND,numeric__Dịch vụ khácVND,numeric__TổngVND
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,9.673.882.325.062,2.311.809.680.275,112.645.659.517,5.605.434.796,12.103.943.099.650,9673882325062.0,2311809680275.0,112645659517.0,5605434796.0,12103943099650.0
Lãi từ công ty liên kết,Lãi từ công ty liên kết,Lãi từ công ty liên kết,,,,,50.194.940.426,,,,,50194940426.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,339.081.761.495,,,,,339081761495.0
Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,,12.493.219.801.571,,,,,12493219801571.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,4.464.057.176.985,662.564.323.361,126.796.787.057,5.739.000.939,5.259.157.288.342,4464057176985.0,662564323361.0,126796787057.0,5739000939.0,5259157288342.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,270.864.798.051,,,,,270864798051.0
Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,,5.530.022.086.393,,,,,5530022086393.0
Số đầu năm (trình bày lại),Số đầu năm (trình bày lại),Số đầu năm (trình bày lại),Dịch vụ vận tảiVND,Dịch vụ hànghải đầu khíVND,Thương mạiVND,Dịch vụ khácVND,TổngVND,,,,,
Tài sản bộ phận,Số đầu năm (trình bày lại) > Tài sản bộ phận,Tài sản bộ phận,8.686.000.331.742,1.701.231.173.710,158.526.076.212,2.366.701.565,10.548.124.283.229,8686000331742.0,1701231173710.0,158526076212.0,2366701565.0,10548124283229.0
Lãi từ công ty liên kết,Số đầu năm (trình bày lại) > Lãi từ công ty liên kết,Lãi từ công ty liên kết,,,,,60.828.561.722,,,,,60828561722.0
Tài sản không phân bổ,Số đầu năm (trình bày lại) > Tài sản không phân bổ,Tài sản không phân bổ,,,,,490.443.539.780,,,,,490443539780.0
Tổng tài sản hợp nhất,Số đầu năm (trình bày lại) > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,,11.099.396.384.731,,,,,11099396384731.0
Nợ phải trả bộ phận,Số đầu năm (trình bày lại) > Nợ phải trả bộ phận,Nợ phải trả bộ phận,4.098.554.380.153,473.665.324.692,23.757.013.281,4.272.377.764,4.600.249.095.890,4098554380153.0,473665324692.0,23757013281.0,4272377764.0,4600249095890.0
Nợ phải trả không phân bổ,Số đầu năm (trình bày lại) > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,176.747.155.545,,,,,176747155545.0
Tổng nợ phải trả hợp nhất,Số đầu năm (trình bày lại) > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,,4.776.996.251.435,,,,,4776996251435.0
