row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,4.849.728.123.623,4.662.070.740.676,,100.0,,4849728123623.0,4662070740676.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,1.283.386.854.560,1.472.901.602.636,,110.0,4.0,1283386854560.0,1472901602636.0
1.,1.,1.,Tiền,111,,365.414.373.186,226.926.288.424,,111.0,,365414373186.0,226926288424.0
2.,2.,2.,Các khoản tương đương tiền,112,,917.972.481.374,1.245.975.314.212,,112.0,,917972481374.0,1245975314212.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,1.789.507.945.205,1.853.068.816.438,,120.0,,1789507945205.0,1853068816438.0
1.,1.,1.,Đầu tư nắm giữ đến ngày đáo hạn,123,5,1.789.507.945.205,1.853.068.816.438,,123.0,5.0,1789507945205.0,1853068816438.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,1.476.856.951.153,1.103.386.965.301,,130.0,,1476856951153.0,1103386965301.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,1.192.941.542.407,889.653.073.285,,131.0,6.0,1192941542407.0,889653073285.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,,19.756.557.197,12.942.277.527,,132.0,,19756557197.0,12942277527.0
3.,3.,3.,Phải thu ngắn hạn khác,136,7,359.058.293.683,299.776.867.536,,136.0,7.0,359058293683.0,299776867536.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,8,(95.571.260.316),(98.985.253.047),,137.0,8.0,-95571260316.0,-98985253047.0
5.,5.,5.,Tài sản thiếu chờ xử lý,139,,671.818.182,-,,139.0,,671818182.0,
IV.,IV.,IV.,Hàng tồn kho,140,9,141.926.455.000,112.296.418.440,,140.0,9.0,141926455000.0,112296418440.0
1.,1.,1.,Hàng tồn kho,141,,141.926.455.000,112.296.418.440,,141.0,,141926455000.0,112296418440.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,158.049.917.705,120.416.937.861,,150.0,,158049917705.0,120416937861.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,,26.264.476.520,20.826.287.160,,151.0,,26264476520.0,20826287160.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,128.090.936.701,99.566.599.812,,152.0,,128090936701.0,99566599812.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,19,3.694.504.484,24.050.889,,153.0,19.0,3694504484.0,24050889.0
