row_label_raw,row_label_full,col_0,Năm nayVND,Năm trước(trình bày lại)VND,numeric__Năm nayVND,numeric__Năm trước(trình bày lại)VND
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,1.040.216.695.657,1.051.163.076.882,1040216695657.0,1051163076882.0
Trừ: Lãi đầu tư vào công ty liên kết,Trừ: Lãi đầu tư vào công ty liên kết,Trừ: Lãi đầu tư vào công ty liên kết,(24.549.751.684),(29.649.082.386),-24549751684.0,-29649082386.0
Cộng: Các khoản chi phí không được khấu trừĐiều chỉnh khác:,Cộng: Các khoản chi phí không được khấu trừĐiều chỉnh khác:,Cộng: Các khoản chi phí không được khấu trừĐiều chỉnh khác:,7.516.307.867,8.487.673.987,7516307867.0,8487673987.0
Trừ: Chênh lệch tạm thời được khấu trừ,Trừ: Chênh lệch tạm thời được khấu trừ,Trừ: Chênh lệch tạm thời được khấu trừ,(217.787.733.620),(86.003.639.805),-217787733620.0,-86003639805.0
Cộng: Chênh lệch tạm thời không được khấu trừ,Cộng: Chênh lệch tạm thời không được khấu trừ,Cộng: Chênh lệch tạm thời không được khấu trừ,182.192.416.705,202.724.578.175,182192416705.0,202724578175.0
Thu nhập chịu thuế,Thu nhập chịu thuế,Thu nhập chịu thuế,987.587.934.925,1.146.722.606.853,987587934925.0,1146722606853.0
Lỗ phát sinh tại công ty con,Lỗ phát sinh tại công ty con,Lỗ phát sinh tại công ty con,19.084.045.856,-,19084045856.0,
Thu nhập tính thuế,Thu nhập tính thuế,Thu nhập tính thuế,1.006.671.980.781,1.146.722.606.853,1006671980781.0,1146722606853.0
Thuế suất hiện hành,Thuế suất hiện hành,Thuế suất hiện hành,20%,20%,0.2,0.2
Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,201.334.396.156,229.344.521.371,201334396156.0,229344521371.0
Thuế thu nhập doanh nghiệp được giảm theo ND92/2021/NĐCP,Thuế thu nhập doanh nghiệp được giảm theo ND92/2021/NĐCP,Thuế thu nhập doanh nghiệp được giảm theo ND92/2021/NĐCP,(603.444.217),-,-603444217.0,
Điều chỉnh thuế thu nhập doanh nghiệp năm trước,Điều chỉnh thuế thu nhập doanh nghiệp năm trước,Điều chỉnh thuế thu nhập doanh nghiệp năm trước,(1.265.923.895),13.798.211.956,-1265923895.0,13798211956.0
Tổng chi phí thuế thu nhập doanh nghiệptrong năm,Tổng chi phí thuế thu nhập doanh nghiệptrong năm,Tổng chi phí thuế thu nhập doanh nghiệptrong năm,199.465.028.044,243.142.733.327,199465028044.0,243142733327.0
