row_label_raw,row_label_full,Bà Truong Thi Anh Đào > Bà Nguyễn Thi Kim Anh,Truong ban (bố nhiệm ngày 15 tháng 6 năm 2021) > Truong ban (miễn nhiệm ngày 15 tháng 6 năm 2021),numeric__Truong ban (bố nhiệm ngày 15 tháng 6 năm 2021) > Truong ban (miễn nhiệm ngày 15 tháng 6 năm 2021)
Ông Phạm Văn Hung,Ông Phạm Văn Hung,Ông Phạm Văn Hung,Thành viên,
Ông Kim Kwang Hynk,Ông Kim Kwang Hynk,Ông Kim Kwang Hynk,Thành viên,
