row_label_raw,row_label_full,col_0,Mã số,Số đã báo cáo VND,Phân loại/trình bày lại > Công ty mẹ phân loại lại VND,Phân loại/trình bày lại > Công ty Nhật Việt thay đổi chính sách VND,Phân loại/trình bày lại > Tổng cộng phân loại/trình bày lại VND,Số sau phân loại/trình bày lại VND,numeric__Mã số,numeric__Số đã báo cáo VND,numeric__Phân loại/trình bày lại > Công ty mẹ phân loại lại VND,numeric__Phân loại/trình bày lại > Công ty Nhật Việt thay đổi chính sách VND,numeric__Phân loại/trình bày lại > Tổng cộng phân loại/trình bày lại VND,numeric__Số sau phân loại/trình bày lại VND
Bảng báo cáo kết quả kinh doanh hợp nhất,Bảng báo cáo kết quả kinh doanh hợp nhất,Bảng báo cáo kết quả kinh doanh hợp nhất,Bảng báo cáo kết quả kinh doanh hợp nhất,Bảng báo cáo kết quả kinh doanh hợp nhất,Bảng báo cáo kết quả kinh doanh hợp nhất,Bảng báo cáo kết quả kinh doanh hợp nhất,Bảng báo cáo kết quả kinh doanh hợp nhất,Bảng báo cáo kết quả kinh doanh hợp nhất,,,,,,
Giá vốn hàng bán và dịch vụ cung cấp,Bảng báo cáo kết quả kinh doanh hợp nhất > Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,11,6.264.470.736.315,-,(11.682.007.933),(11.682.007.933),6.252.788.728.382,11.0,6264470736315.0,,-11682007933.0,-11682007933.0,6252788728382.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Bảng báo cáo kết quả kinh doanh hợp nhất > Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,1.118.223.187.587,-,11.682.007.933,11.682.007.933,1.129.905.195.520,20.0,1118223187587.0,,11682007933.0,11682007933.0,1129905195520.0
Lợi nhuận thuần từ hoạt động kinh doanh,Bảng báo cáo kết quả kinh doanh hợp nhất > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,981.866.992.012,-,11.682.007.933,11.682.007.933,993.548.999.945,30.0,981866992012.0,,11682007933.0,11682007933.0,993548999945.0
Tổng lợi nhuận kế toán trước thuế,Bảng báo cáo kết quả kinh doanh hợp nhất > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,1.039.481.068.949,-,11.682.007.933,11.682.007.933,1.051.163.076.882,50.0,1039481068949.0,,11682007933.0,11682007933.0,1051163076882.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Bảng báo cáo kết quả kinh doanh hợp nhất > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,244.318.343.044,-,(1.175.609.717),(1.175.609.717),243.142.733.327,51.0,244318343044.0,,-1175609717.0,-1175609717.0,243142733327.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Bảng báo cáo kết quả kinh doanh hợp nhất > Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,52,(35.261.858.612),-,(86.279.213),(86.279.213),(35.348.137.825),52.0,-35261858612.0,,-86279213.0,-86279213.0,-35348137825.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Bảng báo cáo kết quả kinh doanh hợp nhất > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,830.424.584.517,-,12.943.896.863,12.943.896.863,843.368.481.380,60.0,830424584517.0,,12943896863.0,12943896863.0,843368481380.0
Phân bố cho:,Phân bố cho:,Phân bố cho:,Phân bố cho:,Phân bố cho:,Phân bố cho:,Phân bố cho:,Phân bố cho:,Phân bố cho:,,,,,,
- Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Phân bố cho: > - Lợi nhuận sau thuế của cổ đông của Công ty mẹ,- Lợi nhuận sau thuế của cổ đông của Công ty mẹ,61,669.484.121.724,-,6.601.387.400,6.601.387.400,676.085.509.124,61.0,669484121724.0,,6601387400.0,6601387400.0,676085509124.0
- Lợi nhuận sau thuế của cổ đông không kiểm soát,Phân bố cho: > - Lợi nhuận sau thuế của cổ đông không kiểm soát,- Lợi nhuận sau thuế của cổ đông không kiểm soát,62,160.940.462.793,-,6.342.509.463,6.342.509.463,167.282.972.256,62.0,160940462793.0,,6342509463.0,6342509463.0,167282972256.0
Lãi cơ bản trên cổ phiếu,Phân bố cho: > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,1.946,,,35,1.981,70.0,1946.0,,,35.0,1981.0
Bảng báo cáo lưu chuyển tiên tệ hợp nhất,Bảng báo cáo lưu chuyển tiên tệ hợp nhất,Bảng báo cáo lưu chuyển tiên tệ hợp nhất,Bảng báo cáo lưu chuyển tiên tệ hợp nhất,Bảng báo cáo lưu chuyển tiên tệ hợp nhất,Bảng báo cáo lưu chuyển tiên tệ hợp nhất,Bảng báo cáo lưu chuyển tiên tệ hợp nhất,Bảng báo cáo lưu chuyển tiên tệ hợp nhất,Bảng báo cáo lưu chuyển tiên tệ hợp nhất,,,,,,
Lợi nhuận trước thuế,Bảng báo cáo lưu chuyển tiên tệ hợp nhất > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,1.039.481.068.949,-,11.682.007.933,11.682.007.933,1.051.163.076.882,1.0,1039481068949.0,,11682007933.0,11682007933.0,1051163076882.0
Các khoản dự phòng,Bảng báo cáo lưu chuyển tiên tệ hợp nhất > Các khoản dự phòng,Các khoản dự phòng,03,150.408.948.381,-,(431.396.067),(431.396.067),149.977.552.314,3.0,150408948381.0,,-431396067.0,-431396067.0,149977552314.0
Thay đổi chi phí trả trước,Bảng báo cáo lưu chuyển tiên tệ hợp nhất > Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,12,20.173.009.523,-,(11.250.611.866),(11.250.611.866),8.922.397.657,12.0,20173009523.0,,-11250611866.0,-11250611866.0,8922397657.0
