row_label_raw,row_label_full,col_0,Mã số,Số đã báo cáo VND,Công ty mẹ phân loại lại VND,Công ty Nhật Việt thay đổi chính sách VND,Tổng cộng phân loại/trình bày lại VND,Số sau phân loại/trình bày lại VND,numeric__Mã số,numeric__Số đã báo cáo VND,numeric__Công ty mẹ phân loại lại VND,numeric__Công ty Nhật Việt thay đổi chính sách VND,numeric__Tổng cộng phân loại/trình bày lại VND,numeric__Số sau phân loại/trình bày lại VND
Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,,,,,,
Chỉ phí trả trước dài hạn,Bảng cân đối kế toán hợp nhất > Chỉ phí trả trước dài hạn,Chỉ phí trả trước dài hạn,261,80.998.854.170,-,15.762.600.659,15.762.600.659,96.761.454.829,261.0,80998854170.0,,15762600659.0,15762600659.0,96761454829.0
Tài sản thuế thu nhập hoãn lại,Bảng cân đối kế toán hợp nhất > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,106.311.340.144,-,(5.950.502.390),(5.950.502.390),100.360.837.754,262.0,106311340144.0,,-5950502390.0,-5950502390.0,100360837754.0
Phải trả người bán ngắn hạn,Bảng cân đối kế toán hợp nhất > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,745.434.645.562,(115.445.568.000),-,(115.445.568.000),629.989.077.562,311.0,745434645562.0,-115445568000.0,,-115445568000.0,629989077562.0
Thuế và các khoản phải nộp Nhà nước,Bảng cân đối kế toán hợp nhất > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,117.043.435.694,-,(3.945.461.574),(3.945.461.574),113.097.974.120,313.0,117043435694.0,,-3945461574.0,-3945461574.0,113097974120.0
Chỉ phí phải trả ngắn hạn,Bảng cân đối kế toán hợp nhất > Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,315,140.596.758.022,17.188.562.347,-,17.188.562.347,157.785.320.369,315.0,140596758022.0,17188562347.0,,17188562347.0,157785320369.0
Phải trả ngắn hạn khác,Bảng cân đối kế toán hợp nhất > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,262.923.785.092,(118.516.283.947),-,(118.516.283.947),144.407.501.145,319.0,262923785092.0,-118516283947.0,,-118516283947.0,144407501145.0
Dự phòng phải trả ngắn hạn,Bảng cân đối kế toán hợp nhất > Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,321,162.735.926.468,-,(2.670.508.220),(2.670.508.220),160.065.418.248,321.0,162735926468.0,,-2670508220.0,-2670508220.0,160065418248.0
Phải trả người bán dài hạn,Bảng cân đối kế toán hợp nhất > Phải trả người bán dài hạn,Phải trả người bán dài hạn,331,202.029.744.000,(202.029.744.000),-,(202.029.744.000),-,331.0,202029744000.0,-202029744000.0,,-202029744000.0,
Phải trả dài hạn khác,Bảng cân đối kế toán hợp nhất > Phải trả dài hạn khác,Phải trả dài hạn khác,337,30.866.400.000,418.803.033.600,-,418.803.033.600,449.669.433.600,337.0,30866400000.0,418803033600.0,,418803033600.0,449669433600.0
Dự phòng phải trả dài hạn,Bảng cân đối kế toán hợp nhất > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,166.182.912.481,,(27.082.003.727),(27.082.003.727),139.100.908.754,342.0,166182912481.0,,-27082003727.0,-27082003727.0,139100908754.0
Lợi nhuận sau thuế chưa phân phối,Bảng cân đối kế toán hợp nhất > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,875.710.420.302,-,22.190.136.613,22.190.136.613,897.900.556.915,421.0,875710420302.0,,22190136613.0,22190136613.0,897900556915.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,Bảng cân đối kế toán hợp nhất > - Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,206.226.298.578,-,15.588.749.213,15.588.749.213,221.815.047.791,,206226298578.0,,15588749213.0,15588749213.0,221815047791.0
- Lợi nhuận sau thuế chưa phân phối năm nay,Bảng cân đối kế toán hợp nhất > - Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,669.484.121.724,-,6.601.387.400,6.601.387.400,676.085.509.124,,669484121724.0,,6601387400.0,6601387400.0,676085509124.0
Lợi ích cổ đông không kiểm soát,Bảng cân đối kế toán hợp nhất > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,1.393.183.931.021,-,21.319.935.177,21.319.935.177,1.414.503.866.198,429.0,1393183931021.0,,21319935177.0,21319935177.0,1414503866198.0
