row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm (Trình bày lại – Thuyết minh số 39),numeric__Số cuối năm,numeric__VND Số đầu năm (Trình bày lại – Thuyết minh số 39)
Phải thu các bên khác,Phải thu các bên khác,Phải thu các bên khác,1.255.248.826.671,2.534.945.622.142,1255248826671.0,2534945622142.0
Công ty Cổ phần Việt Phi,Công ty Cổ phần Việt Phi,Công ty Cổ phần Việt Phi,434.934.149.750,83.068.554.050,434934149750.0,83068554050.0
Công ty TNHH Thương mại Hoàng Giang,Công ty TNHH Thương mại Hoàng Giang,Công ty TNHH Thương mại Hoàng Giang,329.134.804.490,249.531.747.682,329134804490.0,249531747682.0
Công ty TNHH Đầu tư và Thương mại Xuất Nhập Khẩu Tân Thành Nam,Công ty TNHH Đầu tư và Thương mại Xuất Nhập Khẩu Tân Thành Nam,Công ty TNHH Đầu tư và Thương mại Xuất Nhập Khẩu Tân Thành Nam,192.024.997.500,94.543.645.500,192024997500.0,94543645500.0
Công ty Cổ phần Nông nghiệp Bảo Lâm,Công ty Cổ phần Nông nghiệp Bảo Lâm,Công ty Cổ phần Nông nghiệp Bảo Lâm,187.704.034.380,-,187704034380.0,
Công ty TNHH Kinh doanh Thương mại và Phát triển Dịch vụ Sơn La,Công ty TNHH Kinh doanh Thương mại và Phát triển Dịch vụ Sơn La,Công ty TNHH Kinh doanh Thương mại và Phát triển Dịch vụ Sơn La,-,530.954.129.580,,530954129580.0
Công ty Cổ phần OTE Group,Công ty Cổ phần OTE Group,Công ty Cổ phần OTE Group,-,332.222.891.900,,332222891900.0
Công ty TNHH Thương mại Nông Lâm Vạn Thành Long,Công ty TNHH Thương mại Nông Lâm Vạn Thành Long,Công ty TNHH Thương mại Nông Lâm Vạn Thành Long,-,292.090.463.228,,292090463228.0
Công ty Cổ phần Đầu tư Hoàn Kiểm,Công ty Cổ phần Đầu tư Hoàn Kiểm,Công ty Cổ phần Đầu tư Hoàn Kiểm,-,239.639.200.255,,239639200255.0
Các bên khác,Các bên khác,Các bên khác,111.450.840.551,712.894.989.947,111450840551.0,712894989947.0
Phải thu bên liên quan (Thuyết minh số 36),Phải thu bên liên quan (Thuyết minh số 36),Phải thu bên liên quan (Thuyết minh số 36),58.713.403.885,229.814.314.938,58713403885.0,229814314938.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.313.962.230.556,2.764.759.937.080,1313962230556.0,2764759937080.0
