row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,
Số đầu năm,Năm trước: > Số đầu năm,Số đầu năm,500.000.000.000,-,65.588.418.869,565.588.418.869,500000000000.0,,65588418869.0,565588418869.0
Tăng vốn bằng tiền,Năm trước: > Tăng vốn bằng tiền,Tăng vốn bằng tiền,280.000.000.000,279.844.500.000,-,559.844.500.000,280000000000.0,279844500000.0,,559844500000.0
Điều chỉnh lợi ích cổ đông không kiểm soát do thay đổi tỷ lệ sở hữu,Năm trước: > Điều chỉnh lợi ích cổ đông không kiểm soát do thay đổi tỷ lệ sở hữu,Điều chỉnh lợi ích cổ đông không kiểm soát do thay đổi tỷ lệ sở hữu,-,-,14.441.319,14.441.319,,,14441319.0,14441319.0
Lợi nhuận thuần trong năm,Năm trước: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,321.720.447.789,321.720.447.789,,,321720447789.0,321720447789.0
Số cuối năm,Năm trước: > Số cuối năm,Số cuối năm,780.000.000.000,279.844.500.000,387.323.307.977,1.447.167.807.977,780000000000.0,279844500000.0,387323307977.0,1447167807977.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,780.000.000.000,279.844.500.000,387.323.307.977,1.447.167.807.977,780000000000.0,279844500000.0,387323307977.0,1447167807977.0
Phát hành cổ phiếu thường (*),Năm nay: > Phát hành cổ phiếu thường (*),Phát hành cổ phiếu thường (*),304.200.000.000,(279.844.500.000),(24.355.500.000),-,304200000000.0,-279844500000.0,-24355500000.0,
Phát hành cổ phiếu trả cổ tức (**),Năm nay: > Phát hành cổ phiếu trả cổ tức (**),Phát hành cổ phiếu trả cổ tức (**),351.000.000.000,-,(351.000.000.000),-,351000000000.0,,-351000000000.0,
Lợi nhuận thuần trong năm,Năm nay: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,286.687.393.478,286.687.393.478,,,286687393478.0,286687393478.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,1.435.200.000.000,-,298.655.201.455,1.733.855.201.455,1435200000000.0,,298655201455.0,1733855201455.0
