row_label_raw,row_label_full,col_0,Bàng cân đốikế toán hợp nhất,Bàng cân đốikế toán hợp nhất_1,VNDBáo cáo kết quả hoạt động kinhdoanh hợp nhất,VNDBáo cáo kết quả hoạt động kinhdoanh hợp nhất_1,numeric__Bàng cân đốikế toán hợp nhất,numeric__Bàng cân đốikế toán hợp nhất_1,numeric__VNDBáo cáo kết quả hoạt động kinhdoanh hợp nhất,numeric__VNDBáo cáo kết quả hoạt động kinhdoanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Chi phí phải trảngắn hạn,Tài sản thuế thu nhập hoãn lại > Chi phí phải trảngắn hạn,Chi phí phải trảngắn hạn,3.171.458.520,-,3.171.458.520,-,3171458520.0,,3171458520.0,
Lợi nhuận nội bộchưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận nội bộchưa thực hiện,Lợi nhuận nội bộchưa thực hiện,1.603.470.137,-,1.603.470.137,-,1603470137.0,,1603470137.0,
,,,4.774.928.657,-,4.774.928.657,-,4774928657.0,,4774928657.0,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Dự phòng giảmgia của khoản đàutư dài hạn,Thuế thu nhập hoãn lại phải trả > Dự phòng giảmgia của khoản đàutư dài hạn,Dự phòng giảmgia của khoản đàutư dài hạn,(1.803.637.391),(2.522.944.456),719.307.065,(2.522.944.456),-1803637391.0,-2522944456.0,719307065.0,-2522944456.0
,,,(1.803.637.391),(2.522.944.456),719.307.065,(2.522.944.456),-1803637391.0,-2522944456.0,719307065.0,-2522944456.0
Thuế thu nhậphoãn lại thuần,Thuế thu nhập hoãn lại phải trả > Thuế thu nhậphoãn lại thuần,Thuế thu nhậphoãn lại thuần,2.971.291.266,(2.522.944.456),,,2971291266.0,-2522944456.0,,
Thu nhập (chi phí) thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại phải trả > Thu nhập (chi phí) thuế thu nhập hoãn lại,Thu nhập (chi phí) thuế thu nhập hoãn lại,Thu nhập (chi phí) thuế thu nhập hoãn lại,Thu nhập (chi phí) thuế thu nhập hoãn lại,5.494.235.722,(2.522.944.456),,,5494235722.0,-2522944456.0
