row_label_raw,row_label_full,Tên công ty,Tên công ty_1,Tên công ty_2,Tên công ty_3,Tên công ty_4,Tên công ty_5,numeric__Tên công ty_1,numeric__Tên công ty_2,numeric__Tên công ty_3,numeric__Tên công ty_4,numeric__Tên công ty_5
,,,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm,Số đầu năm(Trình bày lại -Thuyết minh số 39),Số đầu năm(Trình bày lại -Thuyết minh số 39),,,,,
,,,Lĩnh vực kinh doanh,Tỷ lệ lợi ích (%),Giá trị ghi số (VND),Tỷ lệ lợi ích (%),Giá trị ghi số (VND),,,,,
Myanmar BAF Livestock Company Limited (i),Myanmar BAF Livestock Company Limited (i),Myanmar BAF Livestock Company Limited (i),Chăn nuôi,-,-,"21,47",14.983.824.894,,,,21.47,14983824894.0
Công ty Cổ phần Siba Food Việt Nam (ii),Công ty Cổ phần Siba Food Việt Nam (ii),Công ty Cổ phần Siba Food Việt Nam (ii),Thương mại,-,-,"43,24",28.650.451.580,,,,43.24,28650451580.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,-,-,,43.634.276.474,,,,,43634276474.0
