row_label_raw,row_label_full,Số đầu năm,Năm nay > 7.650.663.489,VNDNăm trước > -,numeric__Năm nay > 7.650.663.489,numeric__VNDNăm trước > -
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,70.850.000,7.620.000.000,70850000.0,7620000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,1.091.344.970,70.554.264,1091344970.0,70554264.0
Chuyển lợi ích cổ đông không kiểm soát cho Nhóm Công ty,Chuyển lợi ích cổ đông không kiểm soát cho Nhóm Công ty,Chuyển lợi ích cổ đông không kiểm soát cho Nhóm Công ty,-,(39.890.775),,-39890775.0
Số cuối năm,Số cuối năm,Số cuối năm,8.812.858.459,7.650.663.489,8812858459.0,7650663489.0
