row_label_raw,row_label_full,col_0,col_1,VND,VND_1,numeric__col_1,numeric__VND,numeric__VND_1
,,,,Năm nay,Năm trước,,,
Vốn cổ phần đã góp của chủ sở hữu,Vốn cổ phần đã góp của chủ sở hữu,Vốn cổ phần đã góp của chủ sở hữu,Vốn cổ phần đã góp của chủ sở hữu,Vốn cổ phần đã góp của chủ sở hữu,Vốn cổ phần đã góp của chủ sở hữu,,,
Số đầu năm,Vốn cổ phần đã góp của chủ sở hữu > Số đầu năm,Số đầu năm,Số đầu năm,780.000.000.000,500.000.000.000,,780000000000.0,500000000000.0
Tăng trong năm,Vốn cổ phần đã góp của chủ sở hữu > Tăng trong năm,Tăng trong năm,Tăng trong năm,655.200.000.000,280.000.000.000,,655200000000.0,280000000000.0
Số cuối năm,Vốn cổ phần đã góp của chủ sở hữu > Số cuối năm,Số cuối năm,Số cuối năm,1.435.200.000.000,780.000.000.000,,1435200000000.0,780000000000.0
Cổ tức,Cổ tức,Cổ tức,Cổ tức,Cổ tức,Cổ tức,,,
Cổ tức bằng cổ phiếu đã công bố,Cổ tức > Cổ tức bằng cổ phiếu đã công bố,Cổ tức bằng cổ phiếu đã công bố,Cổ tức bằng cổ phiếu đã công bố,351.000.000.000,-,,351000000000.0,
Cổ tức đã trả bằng cổ phiếu,Cổ tức > Cổ tức đã trả bằng cổ phiếu,Cổ tức đã trả bằng cổ phiếu,Cổ tức đã trả bằng cổ phiếu,351.000.000.000,-,,351000000000.0,
26.4,26.4,26.4,Cổ tức,Cổ tức,Cổ tức,,,
,,,,Năm nay,VNDNăm trước,,,
Cổ tức đã công bố và đã trả trong năm,Cổ tức đã công bố và đã trả trong năm,Cổ tức đã công bố và đã trả trong năm,Cổ tức đã công bố và đã trả trong năm,Cổ tức đã công bố và đã trả trong năm,Cổ tức đã công bố và đã trả trong năm,,,
"Cổ tức bằng cổ phiếu năm 2021 (0,45 cổ phần/1 cổ phần hiện hữu)","Cổ tức đã công bố và đã trả trong năm > Cổ tức bằng cổ phiếu năm 2021 (0,45 cổ phần/1 cổ phần hiện hữu)","Cổ tức bằng cổ phiếu năm 2021 (0,45 cổ phần/1 cổ phần hiện hữu)","Cổ tức bằng cổ phiếu năm 2021 (0,45 cổ phần/1 cổ phần hiện hữu)",351.000.000.000,-,,351000000000.0,
