row_label_raw,row_label_full,Giá trị đầu tư > Số đầu năm > Thanh lý trong năm,Năm nay > Giá trị đầu tư > 44.383.824.894 > (14.983.824.894),VNDNăm trước > Giá trị đầu tư > 44.383.824.894 > -,numeric__Năm nay > Giá trị đầu tư > 44.383.824.894 > (14.983.824.894),numeric__VNDNăm trước > Giá trị đầu tư > 44.383.824.894 > -
Giảm do giảm tỷ lệ sở hữu,Giảm do giảm tỷ lệ sở hữu,Giảm do giảm tỷ lệ sở hữu,(29.400.000.000),-,-29400000000.0,
Số cuối năm,Số cuối năm,Số cuối năm,-,44.383.824.894,,44383824894.0
Phần lũy kế lợi nhuận (lỗ) sau khi đầu tư vào công ty liên kết,Phần lũy kế lợi nhuận (lỗ) sau khi đầu tư vào công ty liên kết,Phần lũy kế lợi nhuận (lỗ) sau khi đầu tư vào công ty liên kết,Phần lũy kế lợi nhuận (lỗ) sau khi đầu tư vào công ty liên kết,Phần lũy kế lợi nhuận (lỗ) sau khi đầu tư vào công ty liên kết,,
Số đầu năm,Phần lũy kế lợi nhuận (lỗ) sau khi đầu tư vào công ty liên kết > Số đầu năm,Số đầu năm,(749.548.420),-,-749548420.0,
Lợi nhuận (lỗ) từ các công ty liên kết,Phần lũy kế lợi nhuận (lỗ) sau khi đầu tư vào công ty liên kết > Lợi nhuận (lỗ) từ các công ty liên kết,Lợi nhuận (lỗ) từ các công ty liên kết,831.315.671,(749.548.420),831315671.0,-749548420.0
Giảm do giảm tỷ lệ sở hữu,Phần lũy kế lợi nhuận (lỗ) sau khi đầu tư vào công ty liên kết > Giảm do giảm tỷ lệ sở hữu,Giảm do giảm tỷ lệ sở hữu,(81.767.251),-,-81767251.0,
Số cuối năm,Phần lũy kế lợi nhuận (lỗ) sau khi đầu tư vào công ty liên kết > Số cuối năm,Số cuối năm,-,(749.548.420),,-749548420.0
Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,,
Số đầu năm,Giá trị đầu tư còn lại > Số đầu năm,Số đầu năm,43.634.276.474,44.383.824.894,43634276474.0,44383824894.0
Số cuối năm,Giá trị đầu tư còn lại > Số cuối năm,Số cuối năm,-,43.634.276.474,,43634276474.0
