row_label_raw,row_label_full,col_0,Bán nông sản,Bán heo,Bán cám,Cho thuê,Loại trừ,VND Hợp nhất,numeric__Bán nông sản,numeric__Bán heo,numeric__Bán cám,numeric__Cho thuê,numeric__Loại trừ,numeric__VND Hợp nhất
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,,,,,,
Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,,,,,,
Doanh thu từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần bộ phận > Doanh thu từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu từ bán hàng và cung cấp dịch vụ ra bên ngoài,9.670.648.325.002,861.524.893.593,-,4.036.994.277,(101.855.476.557),10.434.354.736.315,9670648325002.0,861524893593.0,,4036994277.0,-101855476557.0,10434354736315.0
Doanh thu từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần bộ phận > Doanh thu từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu từ bán hàng và cung cấp dịch vụ cho các bộ phận,-,(98.684.845.917),-,(3.170.630.640),101.855.476.557,-,,-98684845917.0,,-3170630640.0,101855476557.0,
Tổng doanh thu thuần,Doanh thu thuần bộ phận > Tổng doanh thu thuần,Tổng doanh thu thuần,9.670.648.325.002,762.840.047.676,-,866.363.637,-,10.434.354.736.315,9670648325002.0,762840047676.0,,866363637.0,,10434354736315.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,
Lợi nhuận gộp,Kết quả > Lợi nhuận gộp,Lợi nhuận gộp,212.730.454.330,274.226.741.727,-,603.289.607,-,487.560.485.664,212730454330.0,274226741727.0,,603289607.0,,487560485664.0
Doanh thu hoạt động tài chính,Kết quả > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,5.398.408.870,,,,,,5398408870.0
Chi phí tài chính,Kết quả > Chi phí tài chính,Chi phí tài chính,,,,,,(32.098.742.607),,,,,,-32098742607.0
Phần lỗ trong công ty liên kết,Kết quả > Phần lỗ trong công ty liên kết,Phần lỗ trong công ty liên kết,,,,,,(749.548.420),,,,,,-749548420.0
Chi phí bán hàng,Kết quả > Chi phí bán hàng,Chi phí bán hàng,,,,,,(15.742.973.158),,,,,,-15742973158.0
Chi phí quản lý doanh nghiệp,Kết quả > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,(54.255.438.010),,,,,,-54255438010.0
Thu nhập khác,Kết quả > Thu nhập khác,Thu nhập khác,,,,,,966.216.881,,,,,,966216881.0
Chi phí khác,Kết quả > Chi phí khác,Chi phí khác,,,,,,(605.538.533),,,,,,-605538533.0
Chi phí thuế TNDN hiện hành,Kết quả > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,,(66.158.924.178),,,,,,-66158924178.0
Thu nhập thuế TNDN hoãn lại,Kết quả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,,,,,,(2.522.944.456),,,,,,-2522944456.0
Lợi nhuận sau thuế TNDN,Kết quả > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,321.791.002.053,,,,,,321791002053.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,2.764.759.937.080,3.353.898.539.969,378.378.405.854,14.912.916.682,(1.054.703.789.142),5.457.246.010.443,2764759937080.0,3353898539969.0,378378405854.0,14912916682.0,-1054703789142.0,5457246010443.0
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,2.764.759.937.080,3.353.898.539.969,378.378.405.854,14.912.916.682,(1.396.405.980.243),5.115.543.819.342,2764759937080.0,3353898539969.0,378378405854.0,14912916682.0,-1396405980243.0,5115543819342.0
Tài sản không phân bổ (*),Tài sản và nợ phải trả > Tài sản không phân bổ (*),Tài sản không phân bổ (*),-,-,-,-,341.702.191.101,341.702.191.101,,,,,341702191101.0,341702191101.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,3.774.329.848.165,272.315.417.963,53.765.699,-,(44.271.492.850),4.002.427.538.977,3774329848165.0,272315417963.0,53765699.0,,-44271492850.0,4002427538977.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,3.774.329.848.165,272.315.417.963,53.765.699,-,(44.271.492.850),4.002.427.538.977,3774329848165.0,272315417963.0,53765699.0,,-44271492850.0,4002427538977.0
