row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Tân Long,Phải trả người bán ngắn hạn > Tân Long,Tân Long,,Mua hàng,22.057.351.759,791.428.109,,,22057351759.0,791428109.0
Siba Tech,Phải trả người bán ngắn hạn > Siba Tech,Siba Tech,,Mua hàng,13.334.356.825,5.306.071.130,,,13334356825.0,5306071130.0
Siba Food Việt Nam,Phải trả người bán ngắn hạn > Siba Food Việt Nam,Siba Food Việt Nam,,Mua hàng,1.021.470.285,-,,,1021470285.0,
TỔNG CỘNG,Phải trả người bán ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,,36.413.178.869,6.097.499.239,,,36413178869.0,6097499239.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Tân Long,Người mua trả tiền trước ngắn hạn > Tân Long,Tân Long,,Khác,507.300,-,,,507300.0,
