row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Tăng do mua công ty con(Thuyết minh số 4.1),Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Tăng do mua công ty con(Thuyết minh số 4.1),numeric__Giảm trong năm,numeric__VND Số cuối năm
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,14.357.962.361,56.593.281.979,-,(17.978.509.653),52.972.734.687,14357962361.0,56593281979.0,,-17978509653.0,52972734687.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,87.278.795,3.010.345.736,-,(1.660.989.931),1.436.634.600,87278795.0,3010345736.0,,-1660989931.0,1436634600.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,77.346.094,1.329.354.927,34.258.115,(1.097.390.334),343.568.802,77346094.0,1329354927.0,34258115.0,-1097390334.0,343568802.0
TỔNG CÔNG,TỔNG CÔNG,TỔNG CÔNG,14.522.587.250,60.932.982.642,34.258.115,(20.736.889.918),54.752.938.089,14522587250.0,60932982642.0,34258115.0,-20736889918.0,54752938089.0
