row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại – Thuyết minh số 39),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại – Thuyết minh số 39)
100,100,100,A. TÀI SẢN NGĂN HẠN,,2.662.699.738.155,4.330.369.174.765,,,2662699738155.0,4330369174765.0
110,110,110,I. Tiền và các khoản tương đương tiền,5,151.374.475.776,240.885.247.960,,5.0,151374475776.0,240885247960.0
111,111,111,1. Tiền,,108.574.475.776,215.635.247.960,,,108574475776.0,215635247960.0
112,112,112,2. Các khoản tương đương tiền,,42.800.000.000,25.250.000.000,,,42800000000.0,25250000000.0
120,120,120,II. Đầu tư tài chính ngắn hạn,,100.000.000.000,57.182.666.667,,,100000000000.0,57182666667.0
121,121,121,1. Chứng khoán kinh doanh,,-,65.097.500.000,,,,65097500000.0
122,122,122,2. Dự phòng chứng khoán kinh doanh,,-,(7.914.833.333),,,,-7914833333.0
123,123,123,3. Đầu tư nắm giữ đến ngày đáo hạn,6,100.000.000.000,-,,6.0,100000000000.0,
130,130,130,III. Các khoản phải thu ngắn hạn,,1.502.476.580.095,2.933.059.782.424,,,1502476580095.0,2933059782424.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,7,1.313.962.230.556,2.764.759.937.080,,7.0,1313962230556.0,2764759937080.0
132,132,132,2. Trả trước cho người bán ngắn hạn,8,142.136.494.506,115.690.518.984,,8.0,142136494506.0,115690518984.0
135,135,135,3. Phải thu về cho vay ngắn hạn,9,1.887.924.989,-,,9.0,1887924989.0,
136,136,136,4. Phải thu ngắn hạn khác,10,48.705.582.700,52.522.668.358,,10.0,48705582700.0,52522668358.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,"10, 11",(4.303.303.908),-,,,-4303303908.0,
139,139,139,6. Tài sản thiếu chờ xử lý,,87.651.252,86.658.002,,,87651252.0,86658002.0
140,140,140,IV. Hàng tồn kho,12,881.821.214.156,1.087.718.158.115,,12.0,881821214156.0,1087718158115.0
141,141,141,1. Hàng tồn kho,,881.821.214.156,1.087.718.158.115,,,881821214156.0,1087718158115.0
150,150,150,V. Tài sản ngắn hạn khác,,27.027.468.128,11.523.319.599,,,27027468128.0,11523319599.0
151,151,151,1. Chi phí trả trước ngắn hạn,19,23.225.601.617,7.639.774.596,,19.0,23225601617.0,7639774596.0
152,152,152,2. Thuế giá trị gia tăng được khấu trừ,,3.742.602.246,3.829.789.818,,,3742602246.0,3829789818.0
153,153,153,3. Thuế và các khoản khác phải thu Nhà nước,,59.264.265,53.755.185,,,59264265.0,53755185.0
