row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm(Trình bày lại –Thuyết minh số 39),Nguyên giá: > Số đầu năm(Trình bày lại –Thuyết minh số 39),Số đầu năm(Trình bày lại –Thuyết minh số 39),201.517.995.376,9.119.876.000,210.637.871.376,201517995376.0,9119876000.0,210637871376.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,1.946.300.000,1.946.300.000,,1946300000.0,1946300000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,201.517.995.376,11.066.176.000,212.584.171.376,201517995376.0,11066176000.0,212584171376.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm(Trình bày lại –Thuyết minh số 39),Giá trị khấu hao lũy kế: > Số đầu năm(Trình bày lại –Thuyết minh số 39),Số đầu năm(Trình bày lại –Thuyết minh số 39),(1.047.006.567),(2.474.351.460),(3.521.358.027),-1047006567.0,-2474351460.0,-3521358027.0
Hao mòn trong năm,Giá trị khấu hao lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(465.336.252),(1.480.967.921),(1.946.304.173),-465336252.0,-1480967921.0,-1946304173.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(1.512.342.819),(3.955.319.381),(5.467.662.200),-1512342819.0,-3955319381.0,-5467662200.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,200.470.988.809,6.645.524.540,207.116.513.349,200470988809.0,6645524540.0,207116513349.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,200.005.652.557,7.110.856.619,207.116.509.176,200005652557.0,7110856619.0,207116509176.0
Trong đó:Tài sản thế chấp(Thuyết minh số 25),Giá trị còn lại: > Trong đó:Tài sản thế chấp(Thuyết minh số 25),Trong đó:Tài sản thế chấp(Thuyết minh số 25),180.462.000.000,-,180.462.000.000,180462000000.0,,180462000000.0
