row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Gia súc,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Gia súc,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm (Trình bày lại – Thuyết minh số 39),Nguyên giá: > Số đầu năm (Trình bày lại – Thuyết minh số 39),Số đầu năm (Trình bày lại – Thuyết minh số 39),264.219.852.022,100.882.938.139,21.072.443.634,1.830.626.747,31.325.452.069,419.331.312.611,264219852022.0,100882938139.0,21072443634.0,1830626747.0,31325452069.0,419331312611.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,19.671.682.742,(20.068.868.642),-,397.185.900,-,-,19671682742.0,-20068868642.0,,397185900.0,,
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,346.361.937.241,92.279.216.422,28.536.519.142,2.306.824.510,3.693.361.811,473.177.859.126,346361937241.0,92279216422.0,28536519142.0,2306824510.0,3693361811.0,473177859126.0
Tăng do mua công ty con (Thuyết minh số 4.1),Nguyên giá: > Tăng do mua công ty con (Thuyết minh số 4.1),Tăng do mua công ty con (Thuyết minh số 4.1),136.360.118.825,2.198.021.000,-,-,-,138.558.139.825,136360118825.0,2198021000.0,,,,138558139825.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,18.496.254.837,16.477.483.152,1.649.429.950,2.678.367.351,-,39.301.535.290,18496254837.0,16477483152.0,1649429950.0,2678367351.0,,39301535290.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,-,-,-,(22.052.201.003),(22.052.201.003),,,,,-22052201003.0,-22052201003.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,785.109.845.667,191.768.790.071,51.258.392.726,7.213.004.508,12.966.612.877,1.048.316.645.849,785109845667.0,191768790071.0,51258392726.0,7213004508.0,12966612877.0,1048316645849.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,47.202.156.864,23.644.701.320,5.909.964.009,684.362.447,10.770.725.066,88.211.909.706,47202156864.0,23644701320.0,5909964009.0,684362447.0,10770725066.0,88211909706.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm (Trình bày lại – Thuyết minh số 39),Giá trị khấu hao lũy kế: > Số đầu năm (Trình bày lại – Thuyết minh số 39),Số đầu năm (Trình bày lại – Thuyết minh số 39),(47.202.156.864),(20.711.274.253),(5.909.964.009),(684.362.447),(10.770.725.066),(85.278.482.639),-47202156864.0,-20711274253.0,-5909964009.0,-684362447.0,-10770725066.0,-85278482639.0
Phân loại lại,Giá trị khấu hao lũy kế: > Phân loại lại,Phân loại lại,(7.784.025.666),8.158.793.548,(150.285.411),(224.482.511),40,-,-7784025666.0,8158793548.0,-150285411.0,-224482511.0,40.0,
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(37.975.162.172),(11.395.902.016),(4.062.498.242),(792.866.019),(1.995.396.803),(56.221.825.252),-37975162172.0,-11395902016.0,-4062498242.0,-792866019.0,-1995396803.0,-56221825252.0
Tăng do mua công ty con (Thuyết minh số 4.1),Giá trị khấu hao lũy kế: > Tăng do mua công ty con (Thuyết minh số 4.1),Tăng do mua công ty con (Thuyết minh số 4.1),(24.955.789.655),(149.343.906),-,-,-,(25.105.133.561),-24955789655.0,-149343906.0,,,,-25105133561.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,-,-,-,7.272.980.990,7.272.980.990,,,,,7272980990.0,7272980990.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(117.917.134.357),(24.097.726.627),(10.122.747.662),(1.701.710.977),(5.493.140.839),(159.332.460.462),-117917134357.0,-24097726627.0,-10122747662.0,-1701710977.0,-5493140839.0,-159332460462.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,217.017.695.158,80.171.663.886,15.162.479.625,1.146.264.300,20.554.727.003,334.052.829.972,217017695158.0,80171663886.0,15162479625.0,1146264300.0,20554727003.0,334052829972.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,667.192.711.310,167.671.063.444,41.135.645.064,5.511.293.531,7.473.472.038,888.984.185.387,667192711310.0,167671063444.0,41135645064.0,5511293531.0,7473472038.0,888984185387.0
Trong đó:Tài sản thế chấp(Thuyết minh số 25),Giá trị còn lại: > Trong đó:Tài sản thế chấp(Thuyết minh số 25),Trong đó:Tài sản thế chấp(Thuyết minh số 25),522.116.742.319,92.317.976.450,36.528.229.524,2.509.219.812,-,653.472.168.105,522116742319.0,92317976450.0,36528229524.0,2509219812.0,,653472168105.0
