row_label_raw,row_label_full,"Nhóm Công ty thực hiện các khoản vay dài hạn từ các ngân hàng để tài trợ các dự án, trang trại đang xây dựng và mua phương tiện vận tải. Chi tiết như sau:","Nhóm Công ty thực hiện các khoản vay dài hạn từ các ngân hàng để tài trợ các dự án, trang trại đang xây dựng và mua phương tiện vận tải. Chi tiết như sau:_1","Nhóm Công ty thực hiện các khoản vay dài hạn từ các ngân hàng để tài trợ các dự án, trang trại đang xây dựng và mua phương tiện vận tải. Chi tiết như sau:_2","Nhóm Công ty thực hiện các khoản vay dài hạn từ các ngân hàng để tài trợ các dự án, trang trại đang xây dựng và mua phương tiện vận tải. Chi tiết như sau:_3","Nhóm Công ty thực hiện các khoản vay dài hạn từ các ngân hàng để tài trợ các dự án, trang trại đang xây dựng và mua phương tiện vận tải. Chi tiết như sau:_4","numeric__Nhóm Công ty thực hiện các khoản vay dài hạn từ các ngân hàng để tài trợ các dự án, trang trại đang xây dựng và mua phương tiện vận tải. Chi tiết như sau:_1","numeric__Nhóm Công ty thực hiện các khoản vay dài hạn từ các ngân hàng để tài trợ các dự án, trang trại đang xây dựng và mua phương tiện vận tải. Chi tiết như sau:_2","numeric__Nhóm Công ty thực hiện các khoản vay dài hạn từ các ngân hàng để tài trợ các dự án, trang trại đang xây dựng và mua phương tiện vận tải. Chi tiết như sau:_3","numeric__Nhóm Công ty thực hiện các khoản vay dài hạn từ các ngân hàng để tài trợ các dự án, trang trại đang xây dựng và mua phương tiện vận tải. Chi tiết như sau:_4"
Tên ngân hàng,Tên ngân hàng,Tên ngân hàng,Số cuối nămVND,Ngày đáo hạn,Lãi suất(%/năm),Hình thức đảm bảo(Thuyết minh số 13 và 14),,,,
Ngân hàng TMCP Tiên Phong - Chi nhánh Thành phố Hồ Chí Minh,Tên ngân hàng > Ngân hàng TMCP Tiên Phong - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TMCP Tiên Phong - Chi nhánh Thành phố Hồ Chí Minh,272.770.366.382,Từ ngày 13 tháng 10 năm 2028 đến ngày30 tháng 3 năm 2029,"9,45-13,65","Quyền sử dụng đất và các tài sản khác gắn liền với đất, máy móc thiết bị, phương tiện vận tải của Trang Trại Xanh 1 tại Xã Hòa Hiệp, Huyện Tân Biên, Tĩnh Tây Ninh;Quyền sử dụng đất và các tài sản khác gắn liền với đất, máy móc thiết bị, phương tiện vận tải của Anh Vũ Phú Yên tại Xã Ea Trol, Huyện Sông Hinh, Tĩnh Phú Yên; vàCác quyền sử dụng đất của Nhóm Công ty tại Đường Mai Chí Thọ, KP3, Phường An Phú, Quận 2, Thành phố Hồ Chí Minh.",272770366382.0,,,
Ngân hàng TMCP Quân đội - Chi nhánh Vũng Tàu,Tên ngân hàng > Ngân hàng TMCP Quân đội - Chi nhánh Vũng Tàu,Ngân hàng TMCP Quân đội - Chi nhánh Vũng Tàu,81.375.888.973,Ngày 20 tháng 7 năm 2030,"8,70-13,37","Quyền sử dụng đất và các tài sản khác gắn liền với đất, máy móc thiết bị của Đông An Khánh tại Xã Suối Dây, Huyện Tân Châu, Tĩnh Tây Ninh; vàQuyền sử dụng đất và các tài sản khác gắn liền với đất, máy móc thiết bị của Nam An Khánh tại Áp Hội Thành, Xã Tân Hội, Huyện Tân Châu, Tĩnh Tây Ninh.",81375888973.0,,,
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Đồng Nai,Tên ngân hàng > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Đồng Nai,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Đồng Nai,41.088.000.000,Ngày 13 tháng 9 năm 2028,"9,80","Các quyền sử dụng đất và các tài sản khác gắn liền với đất, máy móc thiết bị của Kim Hội tại Xã Thuận Phú, Huyện Đồng Phú, Tĩnh Bình Phước.",41088000000.0,,9.8,
Ngân hàng TMCP Phát triển TPHCM – Chi nhánh Tiền Giang,Tên ngân hàng > Ngân hàng TMCP Phát triển TPHCM – Chi nhánh Tiền Giang,Ngân hàng TMCP Phát triển TPHCM – Chi nhánh Tiền Giang,40.488.320.959,Từ ngày 5 tháng 8 năm 2027 đến ngày11 tháng 10 năm2029,"9,70-12,00","Quyền sử dụng đất và các tài sản khác gắn liền với đất, máy móc thiết bị của Bảo Ngọc tại Xã Ea Huar, Huyện Buôn Đôn, Tĩnh Đắk Lắk; vàPhương tiện vận tải của Nhóm Công ty.",40488320959.0,,,
