row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Doanh thu gộp,Doanh thu gộp,Doanh thu gộp,7.085.368.377.828,10.434.950.532.701,7085368377828.0,10434950532701.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán nông sản,Trong đó: > Doanh thu bán nông sản,Doanh thu bán nông sản,5.708.396.788.334,9.671.244.121.388,5708396788334.0,9671244121388.0
Doanh thu hoạt động chắn nuôi,Trong đó: > Doanh thu hoạt động chắn nuôi,Doanh thu hoạt động chắn nuôi,1.372.699.902.228,762.840.047.676,1372699902228.0,762840047676.0
Doanh thu bán cấm,Trong đó: > Doanh thu bán cấm,Doanh thu bán cấm,3.109.869.086,-,3109869086.0,
Doanh thu cho thuê,Trong đó: > Doanh thu cho thuê,Doanh thu cho thuê,1.161.818.180,866.363.637,1161818180.0,866363637.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,,
Hàng bán bị trả lại,Các khoản giảm trừ doanh thu > Hàng bán bị trả lại,Hàng bán bị trả lại,(1.950.028.570),(595.796.386),-1950028570.0,-595796386.0
Doanh thu thuần,Các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,7.083.418.349.258,10.434.354.736.315,7083418349258.0,10434354736315.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,6.659.763.109.486,9.727.461.478.012,6659763109486.0,9727461478012.0
Doanh thu đối với bên liên quan(Thuyết minh số 36),Trong đó: > Doanh thu đối với bên liên quan(Thuyết minh số 36),Doanh thu đối với bên liên quan(Thuyết minh số 36),423.655.239.772,706.893.258.303,423655239772.0,706893258303.0
