row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Giảm do thanh lý Công ty con,Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Giảm do thanh lý Công ty con,numeric__Số cuối năm
Vay ngân hàng ngắn hạn (TM số 24.1),Vay ngân hàng ngắn hạn (TM số 24.1),Vay ngân hàng ngắn hạn (TM số 24.1),221.419.269.307,886.903.915.271,(916.215.597.045),(13.433.258.082),178.674.329.451,221419269307.0,886903915271.0,-916215597045.0,-13433258082.0,178674329451.0
Vay ngân hàng dài hạn (TM số 24.2),Vay ngân hàng dài hạn (TM số 24.2),Vay ngân hàng dài hạn (TM số 24.2),581.826.690.561,770.454.072.778,(265.276.623.789),(1.602.000.000),1.085.402.139.550,581826690561.0,770454072778.0,-265276623789.0,-1602000000.0,1085402139550.0
Trải phiếu không chuyển đổi,Trải phiếu không chuyển đổi,Trải phiếu không chuyển đổi,800.000.000.000,-,(800.000.000.000),-,-,800000000000.0,,-800000000000.0,,
Vay từ các cá nhân,Vay từ các cá nhân,Vay từ các cá nhân,16.388.395.847,4.648.000.000,(7.411.946.000),(235.495.847),13.388.954.000,16388395847.0,4648000000.0,-7411946000.0,-235495847.0,13388954000.0
Vay từ các tổ chức,Vay từ các tổ chức,Vay từ các tổ chức,-,2.850.000.000,-,(2.850.000.000),-,,2850000000.0,,-2850000000.0,
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(1.203.651.270),-,1.203.651.270,-,-,-1203651270.0,,1203651270.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.618.430.704.445,1.664.855.988.049,(1.987.700.515.564),(18.120.753.929),1.277.465.423.001,1618430704445.0,1664855988049.0,-1987700515564.0,-18120753929.0,1277465423001.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,1.194.403.948.267,,,,547.806.830.701,1194403948267.0,,,,547806830701.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,424.026.756.178,,,,729.658.592.300,424026756178.0,,,,729658592300.0
