row_label_raw,row_label_full,Công ty Cổ phần Đầu tư Phát triển Phương Nam,Số cuối năm > 187.601.084.910,VND Số đầu năm > 189.685.905.922,numeric__Số cuối năm > 187.601.084.910,numeric__VND Số đầu năm > 189.685.905.922
Công ty Cổ phần Xây dựng Thương mại A & T,Công ty Cổ phần Xây dựng Thương mại A & T,Công ty Cổ phần Xây dựng Thương mại A & T,20.536.820.495,-,20536820495.0,
Công ty TNHH Thương mại Dịch vụ và Xây dựng Phương Nguyên,Công ty TNHH Thương mại Dịch vụ và Xây dựng Phương Nguyên,Công ty TNHH Thương mại Dịch vụ và Xây dựng Phương Nguyên,11.336.730.634,-,11336730634.0,
Công ty Cổ phần Phát triển Thương mại Thiên Quang,Công ty Cổ phần Phát triển Thương mại Thiên Quang,Công ty Cổ phần Phát triển Thương mại Thiên Quang,6.728.630.014,39.576.555.031,6728630014.0,39576555031.0
Công ty TNHH Thang máy Mitsubishi Việt Nam,Công ty TNHH Thang máy Mitsubishi Việt Nam,Công ty TNHH Thang máy Mitsubishi Việt Nam,-,14.113.500.000,,14113500000.0
Khác,Khác,Khác,19.380.335.184,36.865.651.738,19380335184.0,36865651738.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,245.583.601.237,280.241.612.691,245583601237.0,280241612691.0
Dự phòng trả trước ngắn hạn,Dự phòng trả trước ngắn hạn,Dự phòng trả trước ngắn hạn,-,(1.127.106.180),,-1127106180.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,245.583.601.237,279.114.506.511,245583601237.0,279114506511.0
Trong đó:Các bên liên quan (TM số 33),Trong đó:Các bên liên quan (TM số 33),Trong đó:Các bên liên quan (TM số 33),187.601.084.910,191.615.951.440,187601084910.0,191615951440.0
Các bên khác,Các bên khác,Các bên khác,57.982.516.327,87.498.555.071,57982516327.0,87498555071.0
