row_label_raw,row_label_full,col_0,Loại hình kinh doanh,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Loại hình kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
,,,Loại hình kinh doanh,Giá gốc,Dự phòng,%,Giá gốc,Dự phòng,%,,,,,,,
Công ty Cổ phần Phát triển Đồ thị Phú Quốc,Công ty Cổ phần Phát triển Đồ thị Phú Quốc,Công ty Cổ phần Phát triển Đồ thị Phú Quốc,Bắt động sản,50.000.000.000,-,"6,67%",50.000.000.000,-,"6,67%",,50000000000.0,,0.0667,50000000000.0,,0.0667
Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Đầu tư và thương mại,41.104.911.284,-,"14,75%",41.104.911.284,-,"14,75%",,41104911284.0,,0.1475,41104911284.0,,0.1475
Công ty Cổ phần Cao su Phú Riềng - Kratie,Công ty Cổ phần Cao su Phú Riềng - Kratie,Công ty Cổ phần Cao su Phú Riềng - Kratie,Sản xuất cao su,20.000.000.000,(20.000.000.000),"5,00%",20.000.000.000,(20.000.000.000),"5,00%",,20000000000.0,-20000000000.0,0.05,20000000000.0,-20000000000.0,0.05
Công ty Cổ phần Sông Đà Hà Nội,Công ty Cổ phần Sông Đà Hà Nội,Công ty Cổ phần Sông Đà Hà Nội,Bắt động sản,6.000.000.000,-,"15,00%",6.000.000.000,-,"15,00%",,6000000000.0,,0.15,6000000000.0,,0.15
Công ty Cổ phần Vina Đại Phước,Công ty Cổ phần Vina Đại Phước,Công ty Cổ phần Vina Đại Phước,Bắt động sản,1.610.000.000,(227.305.434),"0,10%",128.800.000.000,(7.481.277.466),"8,00%",,1610000000.0,-227305434.0,0.001,128800000000.0,-7481277466.0,0.08
Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Bắt động sản,173.958.093,-,"0,50%",173.958.093,-,"0,50%",,173958093.0,,0.005,173958093.0,,0.005
Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Bắt động sản,-,-,-,1.240.000.000,(1.155.107.780),"9,02%",,,,,1240000000.0,-1155107780.0,0.0902
Khoản đầu tư dài hạn khác,Khoản đầu tư dài hạn khác,Khoản đầu tư dài hạn khác,,194.500.000,(116.348.408),"0,01%",194.500.000,(116.348.408),"0,01%",,194500000.0,-116348408.0,0.0001,194500000.0,-116348408.0,0.0001
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,119.083.369.377,(20.343.653.842),,247.513.369.377,(28.752.733.654),,,119083369377.0,-20343653842.0,,247513369377.0,-28752733654.0,
17.3 Đầu tư nấm giữ đến ngày đáo hạn,17.3 Đầu tư nấm giữ đến ngày đáo hạn,17.3 Đầu tư nấm giữ đến ngày đáo hạn,17.3 Đầu tư nấm giữ đến ngày đáo hạn,17.3 Đầu tư nấm giữ đến ngày đáo hạn,17.3 Đầu tư nấm giữ đến ngày đáo hạn,17.3 Đầu tư nấm giữ đến ngày đáo hạn,17.3 Đầu tư nấm giữ đến ngày đáo hạn,17.3 Đầu tư nấm giữ đến ngày đáo hạn,17.3 Đầu tư nấm giữ đến ngày đáo hạn,,,,,,,
,,,,,,,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,,
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Bà Rịa - Vũng Tàu,17.3 Đầu tư nấm giữ đến ngày đáo hạn > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Bà Rịa - Vũng Tàu,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Bà Rịa - Vũng Tàu,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Bà Rịa - Vũng Tàu,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Bà Rịa - Vũng Tàu,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Bà Rịa - Vũng Tàu,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Bà Rịa - Vũng Tàu,14.190.000.000,4.190.000.000,4.190.000.000,,,,,14190000000.0,4190000000.0,4190000000.0
Trái phiếu chuyển đổi của DIC Số 4,17.3 Đầu tư nấm giữ đến ngày đáo hạn > Trái phiếu chuyển đổi của DIC Số 4,Trái phiếu chuyển đổi của DIC Số 4,Trái phiếu chuyển đổi của DIC Số 4,Trái phiếu chuyển đổi của DIC Số 4,Trái phiếu chuyển đổi của DIC Số 4,Trái phiếu chuyển đổi của DIC Số 4,8.000.000.000,8.000.000.000,8.000.000.000,,,,,8000000000.0,8000000000.0,8000000000.0
Trái phiếu Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,17.3 Đầu tư nấm giữ đến ngày đáo hạn > Trái phiếu Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,Trái phiếu Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,Trái phiếu Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,Trái phiếu Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,Trái phiếu Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,Trái phiếu Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,5.000.000.000,-,-,,,,,5000000000.0,,
,,,,,,,27.190.000.000,12.190.000.000,12.190.000.000,,,,,27190000000.0,12190000000.0,12190000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,,,,,,,,,,,
