row_label_raw,row_label_full,"Công ty Cổ phần Đầu tư Phát triển Phương Nam (""DIC Phương Nam"")","Công ty Cổ phần Đầu tư Phát triển Phương Nam (""DIC Phương Nam"")_1","Du lịch, khách sạn",23.962.673.120,"Số cuối năm > Giá trị > 46,00%",Số cuối năm > % > 74.743.013.022,"Số đầu năm > Giá trị > 48,88%",Số đầu năm > %,"numeric__Công ty Cổ phần Đầu tư Phát triển Phương Nam (""DIC Phương Nam"")_1","numeric__Du lịch, khách sạn",numeric__23.962.673.120,"numeric__Số cuối năm > Giá trị > 46,00%",numeric__Số cuối năm > % > 74.743.013.022,"numeric__Số đầu năm > Giá trị > 48,88%",numeric__Số đầu năm > %
"Công ty Cổ phần DIC Số 4 (""DIC Số 4"")","Công ty Cổ phần DIC Số 4 (""DIC Số 4"")","Công ty Cổ phần DIC Số 4 (""DIC Số 4"")","Công ty Cổ phần DIC Số 4 (""DIC Số 4"")",Xây lắp,132.700.596.296,"39,29%",37.876.886.348,"20,86%",,,,132700596296.0,0.39289999999999997,37876886348.0,0.2086,
"Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê Tông (""DIC Bê tông"")","Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê Tông (""DIC Bê tông"")","Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê Tông (""DIC Bê tông"")","Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê Tông (""DIC Bê tông"")",Sản xuất bê tông,28.112.463.643,"36,00%",30.038.468.692,"36,00%",,,,28112463643.0,0.36,30038468692.0,0.36,
"Công ty Cổ phần Bát động sản DIC (""DIC Rescô"")","Công ty Cổ phần Bát động sản DIC (""DIC Rescô"")","Công ty Cổ phần Bát động sản DIC (""DIC Rescô"")","Công ty Cổ phần Bát động sản DIC (""DIC Rescô"")",Bát động sản,6.470.210.897,"21,34%",11.298.427.433,"42,67%",,,,6470210897.0,0.2134,11298427433.0,0.4267,
"Công ty Cổ phần DIC Toàn Cầu (""DIC Toàn Cầu"")","Công ty Cổ phần DIC Toàn Cầu (""DIC Toàn Cầu"")","Công ty Cổ phần DIC Toàn Cầu (""DIC Toàn Cầu"")","Công ty Cổ phần DIC Toàn Cầu (""DIC Toàn Cầu"")","Tư vấn, môi giới bất động sản",1.721.796.796,"37,69%",1.970.487.079,"49,00%",,,,1721796796.0,0.37689999999999996,1970487079.0,0.49,
"Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thẻ thao Vũng Tàu (""DIC Thẻ thao"")","Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thẻ thao Vũng Tàu (""DIC Thẻ thao"")","Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thẻ thao Vũng Tàu (""DIC Thẻ thao"")","Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thẻ thao Vũng Tàu (""DIC Thẻ thao"")",Du lịch,-,-,15.659.665.445,"23,92%",,,,,,15659665445.0,0.23920000000000002,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,192.967.740.752,,171.586.948.019,,,,,192967740752.0,,171586948019.0,,
Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2019 như sau:,Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2019 như sau:,Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2019 như sau:,Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2019 như sau:,Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2019 như sau:,Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2019 như sau:,Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2019 như sau:,Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2019 như sau:,Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2019 như sau:,Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2019 như sau:,,,,,,,
,,,DIC Phương Nam,DIC Số 4,DIC Bê tông,DIC Resco,DIC Toàn Cầu,DIC Thẻ thao,Tổng cộng,,,,,,,
Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,,,,,,,
Số đầu năm,Giá gốc đầu tư: > Số đầu năm,Số đầu năm,254.150.768.652,27.402.184.500,17.982.564.000,4.815.000.000,2.450.000.000,17.938.560.000,324.739.077.152,254150768652.0,27402184500.0,17982564000.0,4815000000.0,2450000000.0,17938560000.0,324739077152.0
Tăng trong năm,Giá gốc đầu tư: > Tăng trong năm,Tăng trong năm,-,82.200.000.000,-,-,-,-,82.200.000.000,,82200000000.0,,,,,82200000000.0
Thanh lý trong năm,Giá gốc đầu tư: > Thanh lý trong năm,Thanh lý trong năm,-,-,-,-,-,(17.938.560.000),(17.938.560.000),,,,,,-17938560000.0,-17938560000.0
Khác,Giá gốc đầu tư: > Khác,Khác,(28.750.768.652),-,-,-,-,-,(28.750.768.652),-28750768652.0,,,,,,-28750768652.0
Số cuối năm,Giá gốc đầu tư: > Số cuối năm,Số cuối năm,225.400.000.000,109.602.184.500,17.982.564.000,4.815.000.000,2.450.000.000,-,360.249.748.500,225400000000.0,109602184500.0,17982564000.0,4815000000.0,2450000000.0,,360249748500.0
Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,,,,,,,
Số đầu năm,Phần lợi nhuận lũy kế sau khi đầu tư: > Số đầu năm,Số đầu năm,(179.407.755.630),10.474.701.848,12.055.904.692,6.483.427.433,(479.512.921),(2.278.894.555),(153.152.129.133),-179407755630.0,10474701848.0,12055904692.0,6483427433.0,-479512921.0,-2278894555.0,-153152129133.0
(Lỗ) lợi nhuận được chia,Phần lợi nhuận lũy kế sau khi đầu tư: > (Lỗ) lợi nhuận được chia,(Lỗ) lợi nhuận được chia,(22.029.571.250),12.623.709.948,593.982.951,(4.828.216.536),(248.690.283),-,(13.888.785.170),-22029571250.0,12623709948.0,593982951.0,-4828216536.0,-248690283.0,,-13888785170.0
Chia cổ tức,Phần lợi nhuận lũy kế sau khi đầu tư: > Chia cổ tức,Chia cổ tức,-,-,(2.519.988.000),-,-,-,(2.519.988.000),,,-2519988000.0,,,,-2519988000.0
Thanh lý trong năm,Phần lợi nhuận lũy kế sau khi đầu tư: > Thanh lý trong năm,Thanh lý trong năm,-,-,-,-,-,2.278.894.555,2.278.894.555,,,,,,2278894555.0,2278894555.0
Số cuối năm,Phần lợi nhuận lũy kế sau khi đầu tư: > Số cuối năm,Số cuối năm,(201.437.326.880),23.098.411.796,10.129.899.643,1.655.210.897,(728.203.204),-,(167.282.007.748),-201437326880.0,23098411796.0,10129899643.0,1655210897.0,-728203204.0,,-167282007748.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,74.743.013.022,37.876.886.348,30.038.468.692,11.298.427.433,1.970.487.079,15.659.665.445,171.586.948.019,74743013022.0,37876886348.0,30038468692.0,11298427433.0,1970487079.0,15659665445.0,171586948019.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,23.962.673.120,132.700.596.296,28.112.463.643,6.470.210.897,1.721.796.796,-,192.967.740.752,23962673120.0,132700596296.0,28112463643.0,6470210897.0,1721796796.0,,192967740752.0
