row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm vi tính,Khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm vi tính,numeric__Khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,20.596.986.279,260.669.400,231.730.816,21.089.386.495,20596986279.0,260669400.0,231730816.0,21089386495.0
Giảm do thanh lý công ty con,Nguyên giá: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(630.172.500),-,(231.730.816),(861.903.316),-630172500.0,,-231730816.0,-861903316.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,19.966.813.779,260.669.400,-,20.227.483.179,19966813779.0,260669400.0,,20227483179.0
Trong đó: Đã hao mòn hết,Nguyên giá: > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,-,174.278.400,-,174.278.400,,174278400.0,,174278400.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(741.653.448),(254.835.141),(113.934.315),(1.110.422.904),-741653448.0,-254835141.0,-113934315.0,-1110422904.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(23.459.126),(3.889.506),-,(27.348.632),-23459126.0,-3889506.0,,-27348632.0
Giảm do thanh lý công ty con,Giá trị hao mòn lũy kế: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,483.910.385,-,113.934.315,597.844.700,483910385.0,,113934315.0,597844700.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(281.202.189),(258.724.647),-,(539.926.836),-281202189.0,-258724647.0,,-539926836.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,19.855.332.831,5.834.259,117.796.501,19.978.963.591,19855332831.0,5834259.0,117796501.0,19978963591.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,19.685.611.590,1.944.753,-,19.687.556.343,19685611590.0,1944753.0,,19687556343.0
