row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
DIC Phương Nam,Phải thu về cho vay ngắn hạn > DIC Phương Nam,DIC Phương Nam,Công tyliên kết,Cho vay,67.650.768.652,-,,,67650768652.0,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
DIC Phương Nam,Phải thu ngắn hạn khác > DIC Phương Nam,DIC Phương Nam,Công tyliên kết,Lãi vay phải thu,2.142.126.952,102.666.667,,,2142126952.0,102666667.0
DIC Số 4,Phải thu ngắn hạn khác > DIC Số 4,DIC Số 4,Công tyliên kết,Lãi vay phải thu,427.954.339,430.146.119,,,427954339.0,430146119.0
DIC Resco,Phải thu ngắn hạn khác > DIC Resco,DIC Resco,Công tyliên kết,Cổ tức phải thu,21.689.000,21.689.000,,,21689000.0,21689000.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,,
Công ty Cổ phần Đầu tư và Thương mại DIC,Phải thu dài hạn khác > Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Bên liên quan,Hợp đồng hợp tác kinh doanh,3.000.000.000,3.000.000.000,,,3000000000.0,3000000000.0
,,,,,5.591.770.291,3.554.501.786,,,5591770291.0,3554501786.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
DIC Số 4,Phải trả người bán ngắn hạn > DIC Số 4,DIC Số 4,Công tyliên kết,Chi phí xây dựng,45.944.084.476,35.626.056.055,,,45944084476.0,35626056055.0
DIC Resco,Phải trả người bán ngắn hạn > DIC Resco,DIC Resco,Công tyliên kết,Chi phí môi giới,4.733.148.958,-,,,4733148958.0,
DIC Bê tông,Phải trả người bán ngắn hạn > DIC Bê tông,DIC Bê tông,Công tyliên kết,Chi phí xây dựng,89.303.700,14.561.704.520,,,89303700.0,14561704520.0
Công ty Cổ phần Đầu tư Phát triểnXây dựng Thanh Bình,Phải trả người bán ngắn hạn > Công ty Cổ phần Đầu tư Phát triểnXây dựng Thanh Bình,Công ty Cổ phần Đầu tư Phát triểnXây dựng Thanh Bình,Bên liên quan,Chi phí xây dựng,-,4.540.047.517,,,,4540047517.0
,,,,,50.766.537.134,54.727.808.092,,,50766537134.0,54727808092.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,,,,
DIC Số 4,Người mua trả tiền trước > DIC Số 4,DIC Số 4,Công tyliên kết,Tạm ứng chi phí xây dựng,115.000.000,-,,,115000000.0,
Phải trả người bán ngắn hạn khác,Phải trả người bán ngắn hạn khác,Phải trả người bán ngắn hạn khác,Phải trả người bán ngắn hạn khác,Phải trả người bán ngắn hạn khác,Phải trả người bán ngắn hạn khác,Phải trả người bán ngắn hạn khác,,,,
DIC Resco,Phải trả người bán ngắn hạn khác > DIC Resco,DIC Resco,Công tyliên kết,Chi hộ,14.144.600,-,,,14144600.0,
"Lương, thường và thủ lao cho các thành viên Hội đồng quản trị, Ban kiểm toán nội bộ, và Ban Tổng Giám đốc như sau:","Lương, thường và thủ lao cho các thành viên Hội đồng quản trị, Ban kiểm toán nội bộ, và Ban Tổng Giám đốc như sau:","Lương, thường và thủ lao cho các thành viên Hội đồng quản trị, Ban kiểm toán nội bộ, và Ban Tổng Giám đốc như sau:","Lương, thường và thủ lao cho các thành viên Hội đồng quản trị, Ban kiểm toán nội bộ, và Ban Tổng Giám đốc như sau:","Lương, thường và thủ lao cho các thành viên Hội đồng quản trị, Ban kiểm toán nội bộ, và Ban Tổng Giám đốc như sau:","Lương, thường và thủ lao cho các thành viên Hội đồng quản trị, Ban kiểm toán nội bộ, và Ban Tổng Giám đốc như sau:","Lương, thường và thủ lao cho các thành viên Hội đồng quản trị, Ban kiểm toán nội bộ, và Ban Tổng Giám đốc như sau:",,,,
,,,,,Năm nay,Năm trước,,,,
Hội đồng quản trị và Ban Giám đốc,"Lương, thường và thủ lao cho các thành viên Hội đồng quản trị, Ban kiểm toán nội bộ, và Ban Tổng Giám đốc như sau: > Hội đồng quản trị và Ban Giám đốc",Hội đồng quản trị và Ban Giám đốc,Hội đồng quản trị và Ban Giám đốc,Hội đồng quản trị và Ban Giám đốc,7.734.736.230,5.755.902.053,,,7734736230.0,5755902053.0
