row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,49.846.064.763,112.238.227.784,49846064763.0,112238227784.0
Lãi do được giảm khoản nợ phải trả,Lãi do được giảm khoản nợ phải trả,Lãi do được giảm khoản nợ phải trả,30.008.983.825,93.000.000.000,30008983825.0,93000000000.0
Lãi do thanh lý tài sản cố định,Lãi do thanh lý tài sản cố định,Lãi do thanh lý tài sản cố định,5.351.011.729,7.355.018.498,5351011729.0,7355018498.0
Tiền phạt thu được,Tiền phạt thu được,Tiền phạt thu được,4.191.250.234,4.240.977.163,4191250234.0,4240977163.0
Khác,Khác,Khác,10.294.818.975,7.642.232.123,10294818975.0,7642232123.0
Chi phí khác,Chi phí khác,Chi phí khác,(111.713.857.888),(23.353.061.440),-111713857888.0,-23353061440.0
Phí sử dụng đất giai đoạn trước năm 2019,Phí sử dụng đất giai đoạn trước năm 2019,Phí sử dụng đất giai đoạn trước năm 2019,(71.186.980.898),-,-71186980898.0,
Các khoản phạt,Các khoản phạt,Các khoản phạt,(25.815.059.998),(8.327.924.880),-25815059998.0,-8327924880.0
Lỗ do thanh lý tài sản cố định,Lỗ do thanh lý tài sản cố định,Lỗ do thanh lý tài sản cố định,(3.444.334.367),(7.403.386.468),-3444334367.0,-7403386468.0
Chi phí từ giải thể chi nhánh,Chi phí từ giải thể chi nhánh,Chi phí từ giải thể chi nhánh,-,(3.231.930.809),,-3231930809.0
Chi phí khác,Chi phí khác,Chi phí khác,(11.267.482.625),(4.389.819.283),-11267482625.0,-4389819283.0
(Lỗ) LỢI NHUẬN KHÁC,(Lỗ) LỢI NHUẬN KHÁC,(Lỗ) LỢI NHUẬN KHÁC,(61.867.793.125),88.885.166.344,-61867793125.0,88885166344.0
