row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,2.611.019.387,18.290.563.458,(4.529.063.396),16.372.519.449,2611019387.0,18290563458.0,-4529063396.0,16372519449.0
Thuế GTGT,Phải thu > Thuế GTGT,Thuế GTGT,1.883.508.666,121.696.283.695,(118.909.070.075),4.670.722.286,1883508666.0,121696283695.0,-118909070075.0,4670722286.0
Thuế khác,Phải thu > Thuế khác,Thuế khác,-,2.258.850.999,(2.258.850.999),-,,2258850999.0,-2258850999.0,
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,4.494.528.053,142.245.698.152,(125.696.984.470),21.043.241.735,4494528053.0,142245698152.0,-125696984470.0,21043241735.0
Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,,,,
Thuế thu nhập doanh nghiệp,Phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,74.736.167.895,128.380.729.770,(87.595.322.062),115.521.575.603,74736167895.0,128380729770.0,-87595322062.0,115521575603.0
Thuế GTGT,Phải trả > Thuế GTGT,Thuế GTGT,11.175.951.437,115.605.956.417,(119.176.863.509),7.605.044.345,11175951437.0,115605956417.0,-119176863509.0,7605044345.0
Thuế thu nhập cá nhân,Phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,529.460.206,9.513.046.519,(7.530.878.321),2.511.628.404,529460206.0,9513046519.0,-7530878321.0,2511628404.0
Thuế khác,Phải trả > Thuế khác,Thuế khác,2.316.034.100,91.787.735.016,(5.957.744.830),88.146.024.286,2316034100.0,91787735016.0,-5957744830.0,88146024286.0
TỔNG CỘNG,Phải trả > TỔNG CỘNG,TỔNG CỘNG,88.757.613.638,345.287.467.722,(220.260.808.722),213.784.272.638,88757613638.0,345287467722.0,-220260808722.0,213784272638.0
