row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Quỹ đầu tư phát triển,Vốn khác của Chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Vốn khác của Chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,2.381.948.190.000,66.111.261.707,169.462.141.790,-,200.096.964.669,72.942.604.812,2.890.561.162.978,2381948190000.0,66111261707.0,169462141790.0,,200096964669.0,72942604812.0,2890561162978.0
Phát hành cổ phiếu mới,Năm trước > Phát hành cổ phiếu mới,Phát hành cổ phiếu mới,-,-,-,-,-,9.535.629.857,9.535.629.857,,,,,,9535629857.0,9535629857.0
Cổ tức đã công bố,Năm trước > Cổ tức đã công bố,Cổ tức đã công bố,142.899.640.000,-,-,-,(142.899.640.000),(5.005.885.000),(5.005.885.000),142899640000.0,,,,-142899640000.0,-5005885000.0,-5005885000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,323.991.905.953,8.933.172.334,332.925.078.287,,,,,323991905953.0,8933172334.0,332925078287.0
Trích lập quỹ khen thưởng phúc lợi,Năm trước > Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(9.403.320.950),-,(9.403.320.950),,,,,-9403320950.0,,-9403320950.0
Trích lập quỹ đầu tư phát triển,Năm trước > Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,8.799.246.783,-,(8.799.246.783),-,-,,,8799246783.0,,-8799246783.0,,
Khác,Năm trước > Khác,Khác,-,-,-,-,-,747.180.252,747.180.252,,,,,,747180252.0,747180252.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,2.524.847.830.000,66.111.261.707,178.261.388.573,-,362.986.662.889,87.152.702.255,3.219.359.845.424,2524847830000.0,66111261707.0,178261388573.0,,362986662889.0,87152702255.0,3219359845424.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,2.524.847.830.000,66.111.261.707,178.261.388.573,-,362.986.662.889,87.152.702.255,3.219.359.845.424,2524847830000.0,66111261707.0,178261388573.0,,362986662889.0,87152702255.0,3219359845424.0
Phát hành cổ phiếu mới (*),Năm nay > Phát hành cổ phiếu mới (*),Phát hành cổ phiếu mới (*),474.636.610.000,142.046.728.000,,,,-,616.683.338.000,474636610000.0,142046728000.0,,,,,616683338000.0
Cổ tức bằng cổ phiếu (**),Năm nay > Cổ tức bằng cổ phiếu (**),Cổ tức bằng cổ phiếu (**),149.951.570.000,-,-,-,(149.951.570.000),-,-,149951570000.0,,,,-149951570000.0,,
Cổ tức bằng tiền,Năm nay > Cổ tức bằng tiền,Cổ tức bằng tiền,-,-,-,-,(176.739.348.100),(2.174.692.500),(178.914.040.600),,,,,-176739348100.0,-2174692500.0,-178914040600.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,390.989.644.585,(19.167.012.971),371.822.631.614,,,,,390989644585.0,-19167012971.0,371822631614.0
"Trích lập quỹ khen thưởng, phúc lợi","Năm nay > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(17.911.694.800),(793.566.357),(18.705.261.157),,,,,-17911694800.0,-793566357.0,-18705261157.0
Trích lập quỹ đầu tư phát triển,Năm nay > Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,17.485.700.828,-,(17.880.809.886),395.109.058,-,,,17485700828.0,,-17880809886.0,395109058.0,
Khác,Năm nay > Khác,Khác,-,-,(130.006.263),775.100.000,(775.100.000),(670.311.493),(800.317.756),,,-130006263.0,775100000.0,-775100000.0,-670311493.0,-800317756.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.149.436.010.000,208.157.989.707,195.617.083.138,775.100.000,390.717.784.688,64.742.227.992,4.009.446.195.525,3149436010000.0,208157989707.0,195617083138.0,775100000.0,390717784688.0,64742227992.0,4009446195525.0
