row_label_raw,row_label_full,col_0,Quyền sử dụng đất và hạ tầng cho thuê,Nhà cửa và vật kiến trúc cho thuê,Tổng cộng,numeric__Quyền sử dụng đất và hạ tầng cho thuê,numeric__Nhà cửa và vật kiến trúc cho thuê,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,144.455.832.878,45.419.179.250,189.875.012.128,144455832878.0,45419179250.0,189875012128.0
Kết chuyển từ chi phí sản xuất kinh doanh dở dang,Nguyên giá: > Kết chuyển từ chi phí sản xuất kinh doanh dở dang,Kết chuyển từ chi phí sản xuất kinh doanh dở dang,-,(685.501.450),(685.501.450),,-685501450.0,-685501450.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,144.455.832.878,44.733.677.800,189.189.510.678,144455832878.0,44733677800.0,189189510678.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(29.131.926.281),(454.191.792),(29.586.118.073),-29131926281.0,-454191792.0,-29586118073.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(2.889.116.653),(887.818.541),(3.776.935.194),-2889116653.0,-887818541.0,-3776935194.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(32.021.042.934),(1.342.010.333),(33.363.053.267),-32021042934.0,-1342010333.0,-33363053267.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,115.323.906.597,44.964.987.458,160.288.894.055,115323906597.0,44964987458.0,160288894055.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,112.434.789.944,43.391.667.467,155.826.457.411,112434789944.0,43391667467.0,155826457411.0
